phi,theta,relBn
1.4062500000000000e+00,0.0000000000000000e+00,-1.2539002810850342e-03
1.4062500000000000e+00,1.1250000000000000e+01,1.1058266292252922e-02
1.4062500000000000e+00,2.2500000000000000e+01,2.3440171889654776e-02
1.4062500000000000e+00,3.3750000000000000e+01,3.4979031022757581e-02
1.4062500000000000e+00,4.5000000000000000e+01,4.3570342725805150e-02
1.4062500000000000e+00,5.6250000000000000e+01,4.4949889227926393e-02
1.4062500000000000e+00,6.7500000000000000e+01,2.9900677803804898e-02
1.4062500000000000e+00,7.8750000000000000e+01,-2.5024596970686465e-02
1.4062500000000000e+00,9.0000000000000000e+01,-1.7056703550507188e-01
1.4062500000000000e+00,1.0125000000000000e+02,-2.9947616129440913e-01
1.4062500000000000e+00,1.1250000000000000e+02,-2.8056293551616640e-01
1.4062500000000000e+00,1.2375000000000000e+02,-2.4022730853852714e-01
1.4062500000000000e+00,1.3500000000000000e+02,-1.9954799344907659e-01
1.4062500000000000e+00,1.4625000000000000e+02,-1.5691068173835168e-01
1.4062500000000000e+00,1.5750000000000000e+02,-1.1120452884501990e-01
1.4062500000000000e+00,1.6875000000000000e+02,-6.2586452266257697e-02
1.4062500000000000e+00,1.8000000000000000e+02,-1.2105987018298065e-02
1.4062500000000000e+00,1.9125000000000000e+02,3.8653248930071910e-02
1.4062500000000000e+00,2.0250000000000000e+02,8.8061304060367870e-02
1.4062500000000000e+00,2.1375000000000000e+02,1.3495736113654636e-01
1.4062500000000000e+00,2.2500000000000000e+02,1.7906117635535329e-01
1.4062500000000000e+00,2.3625000000000000e+02,2.2142742557192721e-01
1.4062500000000000e+00,2.4750000000000000e+02,2.6448216478511466e-01
1.4062500000000000e+00,2.5875000000000000e+02,2.9796228046334200e-01
1.4062500000000000e+00,2.7000000000000000e+02,2.0647014391070712e-01
1.4062500000000000e+00,2.8125000000000000e+02,4.8290767304119700e-02
1.4062500000000000e+00,2.9250000000000000e+02,-1.7854683894579639e-02
1.4062500000000000e+00,3.0375000000000000e+02,-3.8430381045046508e-02
1.4062500000000000e+00,3.1500000000000000e+02,-4.0472434269995125e-02
1.4062500000000000e+00,3.2625000000000000e+02,-3.4315072096393034e-02
1.4062500000000000e+00,3.3750000000000000e+02,-2.4514050989831504e-02
1.4062500000000000e+00,3.4875000000000000e+02,-1.3202554681384664e-02
4.2187500000000000e+00,0.0000000000000000e+00,2.4220950495806438e-03
4.2187500000000000e+00,1.1250000000000000e+01,1.5565473337746898e-02
4.2187500000000000e+00,2.2500000000000000e+01,2.9077539283839271e-02
4.2187500000000000e+00,3.3750000000000000e+01,4.1983149232634319e-02
4.2187500000000000e+00,4.5000000000000000e+01,5.2241297269711738e-02
4.2187500000000000e+00,5.6250000000000000e+01,5.5874140828594258e-02
4.2187500000000000e+00,6.7500000000000000e+01,4.4574978646129519e-02
4.2187500000000000e+00,7.8750000000000000e+01,-2.1610307401484364e-03
4.2187500000000000e+00,9.0000000000000000e+01,-1.3431070001098805e-01
4.2187500000000000e+00,1.0125000000000000e+02,-2.9601427832654337e-01
4.2187500000000000e+00,1.1250000000000000e+02,-2.9778615384358198e-01
4.2187500000000000e+00,1.2375000000000000e+02,-2.6053215984464112e-01
4.2187500000000000e+00,1.3500000000000000e+02,-2.2121794052282798e-01
4.2187500000000000e+00,1.4625000000000000e+02,-1.7973653979728352e-01
4.2187500000000000e+00,1.5750000000000000e+02,-1.3493372803468875e-01
4.2187500000000000e+00,1.6875000000000000e+02,-8.6833214229832506e-02
4.2187500000000000e+00,1.8000000000000000e+02,-3.6397071553630089e-02
4.2187500000000000e+00,1.9125000000000000e+02,1.4795749802149753e-02
4.2187500000000000e+00,2.0250000000000000e+02,6.5028987491670048e-02
4.2187500000000000e+00,2.1375000000000000e+02,1.1300416278402725e-01
4.2187500000000000e+00,2.2500000000000000e+02,1.5830845529513227e-01
4.2187500000000000e+00,2.3625000000000000e+02,2.0193311485006962e-01
4.2187500000000000e+00,2.4750000000000000e+02,2.4682702588050012e-01
4.2187500000000000e+00,2.5875000000000000e+02,2.9030051986656547e-01
4.2187500000000000e+00,2.7000000000000000e+02,2.4030771650238025e-01
4.2187500000000000e+00,2.8125000000000000e+02,7.7325117668640087e-02
4.2187500000000000e+00,2.9250000000000000e+02,-1.5182130001067415e-03
4.2187500000000000e+00,3.0375000000000000e+02,-2.8354551432186782e-02
4.2187500000000000e+00,3.1500000000000000e+02,-3.3895270928428631e-02
4.2187500000000000e+00,3.2625000000000000e+02,-2.9779471700214839e-02
4.2187500000000000e+00,3.3750000000000000e+02,-2.1002960667652507e-02
4.2187500000000000e+00,3.4875000000000000e+02,-9.9176194360001690e-03
7.0312500000000000e+00,0.0000000000000000e+00,1.6400719830218964e-02
7.0312500000000000e+00,1.1250000000000000e+01,2.9575939560237081e-02
7.0312500000000000e+00,2.2500000000000000e+01,4.3006991509664957e-02
7.0312500000000000e+00,3.3750000000000000e+01,5.5867242007869848e-02
7.0312500000000000e+00,4.5000000000000000e+01,6.6399799911579738e-02
7.0312500000000000e+00,5.6250000000000000e+01,7.1019398698143568e-02
7.0312500000000000e+00,6.7500000000000000e+01,6.2189554197322881e-02
7.0312500000000000e+00,7.8750000000000000e+01,2.1720710317756665e-02
