phi,theta,relBn
1.4062500000000000e+00,0.0000000000000000e+00,1.6951463587423090e-04
1.4062500000000000e+00,1.1250000000000000e+01,8.5230197425811350e-04
1.4062500000000000e+00,2.2500000000000000e+01,-1.3576983620871938e-03
1.4062500000000000e+00,3.3750000000000000e+01,-2.0042707458974448e-03
1.4062500000000000e+00,4.5000000000000000e+01,7.5172031741418729e-05
1.4062500000000000e+00,5.6250000000000000e+01,1.2993445990728868e-03
1.4062500000000000e+00,6.7500000000000000e+01,6.1288470525029356e-04
1.4062500000000000e+00,7.8750000000000000e+01,-1.7827611992667974e-03
1.4062500000000000e+00,9.0000000000000000e+01,-2.6268463615706605e-03
1.4062500000000000e+00,1.0125000000000000e+02,2.4078060476345376e-03
1.4062500000000000e+00,1.1250000000000000e+02,3.0238789465533403e-03
1.4062500000000000e+00,1.2375000000000000e+02,3.4944862231243833e-06
1.4062500000000000e+00,1.3500000000000000e+02,-1.4057652855633013e-03
1.4062500000000000e+00,1.4625000000000000e+02,-2.4904964501771642e-04
1.4062500000000000e+00,1.5750000000000000e+02,8.1516774415127781e-04
1.4062500000000000e+00,1.6875000000000000e+02,4.6243958464192405e-04
1.4062500000000000e+00,1.8000000000000000e+02,-1.3553337063618520e-04
1.4062500000000000e+00,1.9125000000000000e+02,-4.9887850970891040e-04
1.4062500000000000e+00,2.0250000000000000e+02,-6.9426240752271378e-04
1.4062500000000000e+00,2.1375000000000000e+02,1.4964385603028041e-04
1.4062500000000000e+00,2.2500000000000000e+02,1.5496444834349151e-03
1.4062500000000000e+00,2.3625000000000000e+02,1.0405596640142543e-03
1.4062500000000000e+00,2.4750000000000000e+02,-1.7156583551949213e-03
1.4062500000000000e+00,2.5875000000000000e+02,-2.6106342232743041e-03
1.4062500000000000e+00,2.7000000000000000e+02,1.8113979347009050e-03
1.4062500000000000e+00,2.8125000000000000e+02,2.2189923645056357e-03
1.4062500000000000e+00,2.9250000000000000e+02,-5.8931721923042972e-04
1.4062500000000000e+00,3.0375000000000000e+02,-2.0748246442269425e-03
1.4062500000000000e+00,3.1500000000000000e+02,-1.1114545007867075e-03
1.4062500000000000e+00,3.2625000000000000e+02,4.6893615067997434e-04
1.4062500000000000e+00,3.3750000000000000e+02,-3.0528338422187572e-04
1.4062500000000000e+00,3.4875000000000000e+02,-1.4164723026787055e-03
4.2187500000000000e+00,0.0000000000000000e+00,-6.3951070598477812e-06
