phi,theta,relBn
1.4062500000000000e+00,0.0000000000000000e+00,-3.7617299319722356e-03
1.4062500000000000e+00,1.1250000000000000e+01,-6.1083819737183138e-03
1.4062500000000000e+00,2.2500000000000000e+01,-6.7995537815804990e-03
1.4062500000000000e+00,3.3750000000000000e+01,-5.5518669045671086e-03
1.4062500000000000e+00,4.5000000000000000e+01,-4.1756640681835074e-03
1.4062500000000000e+00,5.6250000000000000e+01,-3.9249253685516476e-03
1.4062500000000000e+00,6.7500000000000000e+01,-4.5545136803063057e-03
1.4062500000000000e+00,7.8750000000000000e+01,-5.3097058551820333e-03
1.4062500000000000e+00,9.0000000000000000e+01,-4.3488312838043438e-03
1.4062500000000000e+00,1.0125000000000000e+02,-2.4080190052017724e-04
1.4062500000000000e+00,1.1250000000000000e+02,7.7380855602968656e-04
1.4062500000000000e+00,1.2375000000000000e+02,-5.1603115320915773e-04
1.4062500000000000e+00,1.3500000000000000e+02,-1.3293662806160922e-03
1.4062500000000000e+00,1.4625000000000000e+02,-6.3948572733583660e-04
1.4062500000000000e+00,1.5750000000000000e+02,5.9878975908161014e-04
1.4062500000000000e+00,1.6875000000000000e+02,9.1923643815685740e-04
1.4062500000000000e+00,1.8000000000000000e+02,8.4405498451555234e-05
1.4062500000000000e+00,1.9125000000000000e+02,-9.2993548014442564e-04
1.4062500000000000e+00,2.0250000000000000e+02,-9.7897876938483788e-04
1.4062500000000000e+00,2.1375000000000000e+02,1.1899838985557652e-04
1.4062500000000000e+00,2.2500000000000000e+02,1.1275398413594859e-03
1.4062500000000000e+00,2.3625000000000000e+02,7.2149245971091268e-04
1.4062500000000000e+00,2.4750000000000000e+02,-7.0830066367979225e-04
1.4062500000000000e+00,2.5875000000000000e+02,-5.8885173905318697e-04
1.4062500000000000e+00,2.7000000000000000e+02,3.6426154846404680e-03
1.4062500000000000e+00,2.8125000000000000e+02,5.6815011416888311e-03
1.4062500000000000e+00,2.9250000000000000e+02,4.9804635252890406e-03
1.4062500000000000e+00,3.0375000000000000e+02,3.7132708044481772e-03
1.4062500000000000e+00,3.1500000000000000e+02,2.5937242231909327e-03
1.4062500000000000e+00,3.2625000000000000e+02,1.7761381522528336e-03
1.4062500000000000e+00,3.3750000000000000e+02,7.7743112049349211e-04
1.4062500000000000e+00,3.4875000000000000e+02,-1.1135900374820394e-03
4.2187500000000000e+00,0.0000000000000000e+00,-5.8005226993165637e-03
4.2187500000000000e+00,1.1250000000000000e+01,-5.8941519929682747e-03
4.2187500000000000e+00,2.2500000000000000e+01,-4.4248598740056462e-03
4.2187500000000000e+00,3.3750000000000000e+01,-1.2473067154537369e-03
4.2187500000000000e+00,4.5000000000000000e+01,1.1102851172186551e-03
4.2187500000000000e+00,5.6250000000000000e+01,1.5919879206955936e-03
4.2187500000000000e+00,6.7500000000000000e+01,9.2770077902485488e-04
4.2187500000000000e+00,7.8750000000000000e+01,-1.5606327001657349e-04
4.2187500000000000e+00,9.0000000000000000e+01,-7.3428082413594181e-04
4.2187500000000000e+00,1.0125000000000000e+02,3.9663245776269381e-04
4.2187500000000000e+00,1.1250000000000000e+02,5.4234590721985259e-04
4.2187500000000000e+00,1.2375000000000000e+02,-8.6584468388138549e-04
4.2187500000000000e+00,1.3500000000000000e+02,-1.9975941702440026e-03
4.2187500000000000e+00,1.4625000000000000e+02,-1.6221839985674821e-03
4.2187500000000000e+00,1.5750000000000000e+02,-2.7908947555899089e-04
4.2187500000000000e+00,1.6875000000000000e+02,5.2049064478491423e-04
4.2187500000000000e+00,1.8000000000000000e+02,1.2184477135204451e-04
4.2187500000000000e+00,1.9125000000000000e+02,-7.8616415284609061e-04
4.2187500000000000e+00,2.0250000000000000e+02,-1.0007102950755195e-03
4.2187500000000000e+00,2.1375000000000000e+02,2.8688544063245692e-05
4.2187500000000000e+00,2.2500000000000000e+02,1.4458608607635986e-03
4.2187500000000000e+00,2.3625000000000000e+02,1.7870533546358743e-03
4.2187500000000000e+00,2.4750000000000000e+02,6.0588769898984392e-04
4.2187500000000000e+00,2.5875000000000000e+02,-1.0410959042127202e-03
4.2187500000000000e+00,2.7000000000000000e+02,-1.1632536383563545e-03
4.2187500000000000e+00,2.8125000000000000e+02,-2.7942886948525335e-04
4.2187500000000000e+00,2.9250000000000000e+02,-7.4856671504508585e-04
4.2187500000000000e+00,3.0375000000000000e+02,-2.0926782259625852e-03
4.2187500000000000e+00,3.1500000000000000e+02,-3.7260868135878260e-03
4.2187500000000000e+00,3.2625000000000000e+02,-5.0311878664421952e-03
4.2187500000000000e+00,3.3750000000000000e+02,-5.4825627567034437e-03
4.2187500000000000e+00,3.4875000000000000e+02,-5.5103034656163105e-03
7.0312500000000000e+00,0.0000000000000000e+00,4.9142175687925482e-04
7.0312500000000000e+00,1.1250000000000000e+01,1.0740625236284162e-03
7.0312500000000000e+00,2.2500000000000000e+01,2.2681780831979447e-03
7.0312500000000000e+00,3.3750000000000000e+01,4.3034189270108759e-03
7.0312500000000000e+00,4.5000000000000000e+01,5.2002095362211013e-03
7.0312500000000000e+00,5.6250000000000000e+01,4.6134897467368582e-03
7.0312500000000000e+00,6.7500000000000000e+01,3.3773230501948351e-03
7.0312500000000000e+00,7.8750000000000000e+01,2.0076167785140413e-03
7.0312500000000000e+00,9.0000000000000000e+01,1.1538913243926573e-03
7.0312500000000000e+00,1.0125000000000000e+02,1.6601843844062999e-03
7.0312500000000000e+00,1.1250000000000000e+02,1.3203127279590001e-03
7.0312500000000000e+00,1.2375000000000000e+02,-4.5508093052883542e-04
7.0312500000000000e+00,1.3500000000000000e+02,-2.0652124199965491e-03
7.0312500000000000e+00,1.4625000000000000e+02,-2.1695564989172270e-03
7.0312500000000000e+00,1.5750000000000000e+02,-9.7196495510138250e-04
7.0312500000000000e+00,1.6875000000000000e+02,1.1937155356895870e-04
7.0312500000000000e+00,1.8000000000000000e+02,1.2265120259665017e-04
7.0312500000000000e+00,1.9125000000000000e+02,-6.7590830614124042e-04
7.0312500000000000e+00,2.0250000000000000e+02,-1.1625940927300637e-03
7.0312500000000000e+00,2.1375000000000000e+02,-4.7324377104822926e-04
7.0312500000000000e+00,2.2500000000000000e+02,1.0130855251515097e-03
7.0312500000000000e+00,2.3625000000000000e+02,1.9618586629247185e-03
7.0312500000000000e+00,2.4750000000000000e+02,1.3705315797688626e-03
7.0312500000000000e+00,2.5875000000000000e+02,-9.5102947499328108e-04
