phi,theta,relBn
1.4062500000000000e+00,0.0000000000000000e+00,-6.1576407642135083e-03
1.4062500000000000e+00,1.1250000000000000e+01,-1.0130303916282021e-02
1.4062500000000000e+00,2.2500000000000000e+01,-9.7431068905804510e-03
1.4062500000000000e+00,3.3750000000000000e+01,-4.3648765615281037e-03
1.4062500000000000e+00,4.5000000000000000e+01,9.5441720048357532e-04
1.4062500000000000e+00,5.6250000000000000e+01,1.4957408117031699e-03
1.4062500000000000e+00,6.7500000000000000e+01,-3.0794167761129688e-03
1.4062500000000000e+00,7.8750000000000000e+01,-9.4612270639051182e-03
1.4062500000000000e+00,9.0000000000000000e+01,-8.3592942923564669e-03
1.4062500000000000e+00,1.0125000000000000e+02,8.3905303447459161e-03
1.4062500000000000e+00,1.1250000000000000e+02,1.6163955994604934e-02
1.4062500000000000e+00,1.2375000000000000e+02,1.3850161138286885e-02
1.4062500000000000e+00,1.3500000000000000e+02,7.9485104258006402e-03
1.4062500000000000e+00,1.4625000000000000e+02,2.3080953122228951e-03
1.4062500000000000e+00,1.5750000000000000e+02,-1.1075618308453588e-03
1.4062500000000000e+00,1.6875000000000000e+02,-1.7214436045678019e-03
1.4062500000000000e+00,1.8000000000000000e+02,-1.8545305389993841e-04
1.4062500000000000e+00,1.9125000000000000e+02,1.7070390981374546e-03
1.4062500000000000e+00,2.0250000000000000e+02,2.0154591687452524e-03
1.4062500000000000e+00,2.1375000000000000e+02,-2.9567045504411572e-04
1.4062500000000000e+00,2.2500000000000000e+02,-5.2173783791359890e-03
1.4062500000000000e+00,2.3625000000000000e+02,-1.1522979256659851e-02
1.4062500000000000e+00,2.4750000000000000e+02,-1.6224083895297472e-02
1.4062500000000000e+00,2.5875000000000000e+02,-1.3871322176488447e-02
1.4062500000000000e+00,2.7000000000000000e+02,7.4571874104953947e-04
1.4062500000000000e+00,2.8125000000000000e+02,7.4991756326594867e-03
1.4062500000000000e+00,2.9250000000000000e+02,4.9929008412742714e-03
1.4062500000000000e+00,3.0375000000000000e+02,1.8704600788580225e-03
1.4062500000000000e+00,3.1500000000000000e+02,7.0263452128830305e-04
1.4062500000000000e+00,3.2625000000000000e+02,1.1189622329789723e-03
1.4062500000000000e+00,3.3750000000000000e+02,9.5689222189571446e-04
1.4062500000000000e+00,3.4875000000000000e+02,-1.5942483505292533e-03
4.2187500000000000e+00,0.0000000000000000e+00,-1.2067991682739820e-02
4.2187500000000000e+00,1.1250000000000000e+01,-1.3552112925304692e-02
4.2187500000000000e+00,2.2500000000000000e+01,-9.4983342662109845e-03
4.2187500000000000e+00,3.3750000000000000e+01,1.0562069780091642e-04
4.2187500000000000e+00,4.5000000000000000e+01,7.6455616783651708e-03
4.2187500000000000e+00,5.6250000000000000e+01,7.8932787255259085e-03
4.2187500000000000e+00,6.7500000000000000e+01,1.7271471735083570e-03
4.2187500000000000e+00,7.8750000000000000e+01,-6.8995442868602722e-03
4.2187500000000000e+00,9.0000000000000000e+01,-9.8598427262205305e-03
4.2187500000000000e+00,1.0125000000000000e+02,4.8178746521066705e-03
4.2187500000000000e+00,1.1250000000000000e+02,1.6012229756548809e-02
4.2187500000000000e+00,1.2375000000000000e+02,1.5742472309643998e-02
4.2187500000000000e+00,1.3500000000000000e+02,1.0013803189191947e-02
4.2187500000000000e+00,1.4625000000000000e+02,3.0909477172920414e-03
4.2187500000000000e+00,1.5750000000000000e+02,-1.9802415709224731e-03
4.2187500000000000e+00,1.6875000000000000e+02,-3.5327788300946986e-03
4.2187500000000000e+00,1.8000000000000000e+02,-1.8139474300029115e-03
4.2187500000000000e+00,1.9125000000000000e+02,1.1627712705506543e-03
4.2187500000000000e+00,2.0250000000000000e+02,2.9513183378518286e-03
4.2187500000000000e+00,2.1375000000000000e+02,1.9968281253224958e-03
4.2187500000000000e+00,2.2500000000000000e+02,-1.9770940649435475e-03
4.2187500000000000e+00,2.3625000000000000e+02,-8.0603264124367510e-03
4.2187500000000000e+00,2.4750000000000000e+02,-1.4239341321716803e-02
4.2187500000000000e+00,2.5875000000000000e+02,-1.7356238092101937e-02
4.2187500000000000e+00,2.7000000000000000e+02,-1.0544014396981931e-02
4.2187500000000000e+00,2.8125000000000000e+02,-4.2965656270489445e-04
4.2187500000000000e+00,2.9250000000000000e+02,1.4929989142841663e-03
4.2187500000000000e+00,3.0375000000000000e+02,7.1521096671387999e-05
4.2187500000000000e+00,3.1500000000000000e+02,-2.4910556387369347e-03
4.2187500000000000e+00,3.2625000000000000e+02,-5.3506995671154210e-03
4.2187500000000000e+00,3.3750000000000000e+02,-7.7587754789687742e-03
4.2187500000000000e+00,3.4875000000000000e+02,-9.6519296826043065e-03
7.0312500000000000e+00,0.0000000000000000e+00,-6.7539593108382227e-03
7.0312500000000000e+00,1.1250000000000000e+01,-7.0490614908751857e-03
7.0312500000000000e+00,2.2500000000000000e+01,-2.6522373824868820e-03
7.0312500000000000e+00,3.3750000000000000e+01,5.8325482905766659e-03
7.0312500000000000e+00,4.5000000000000000e+01,1.1118372679135773e-02
7.0312500000000000e+00,5.6250000000000000e+01,9.5492902916242493e-03
7.0312500000000000e+00,6.7500000000000000e+01,2.8762015402359303e-03
7.0312500000000000e+00,7.8750000000000000e+01,-5.3216813542670870e-03
7.0312500000000000e+00,9.0000000000000000e+01,-8.7382110439413740e-03
7.0312500000000000e+00,1.0125000000000000e+02,4.1883770393746729e-03
7.0312500000000000e+00,1.1250000000000000e+02,1.7224388528457507e-02
7.0312500000000000e+00,1.2375000000000000e+02,1.8103839696535822e-02
7.0312500000000000e+00,1.3500000000000000e+02,1.1936295978910759e-02
7.0312500000000000e+00,1.4625000000000000e+02,2.9943245213424887e-03
7.0312500000000000e+00,1.5750000000000000e+02,-4.6188729431454450e-03
7.0312500000000000e+00,1.6875000000000000e+02,-7.7716094359433201e-03
7.0312500000000000e+00,1.8000000000000000e+02,-6.0517601307619124e-03
7.0312500000000000e+00,1.9125000000000000e+02,-1.8420728129623671e-03
7.0312500000000000e+00,2.0250000000000000e+02,1.7054249666555120e-03
7.0312500000000000e+00,2.1375000000000000e+02,2.5000172778925564e-03
7.0312500000000000e+00,2.2500000000000000e+02,8.4428581057068656e-05
7.0312500000000000e+00,2.3625000000000000e+02,-4.7564850503374863e-03
7.0312500000000000e+00,2.4750000000000000e+02,-1.0808572619432194e-02
7.0312500000000000e+00,2.5875000000000000e+02,-1.7004184889875887e-02
7.0312500000000000e+00,2.7000000000000000e+02,-1.8321188457705726e-02
7.0312500000000000e+00,2.8125000000000000e+02,-7.8683608517886531e-03
7.0312500000000000e+00,2.9250000000000000e+02,-1.3679583188073213e-03
7.0312500000000000e+00,3.0375000000000000e+02,-2.0701447645125751e-04
7.0312500000000000e+00,3.1500000000000000e+02,-2.3169544021799790e-03
7.0312500000000000e+00,3.2625000000000000e+02,-5.3898719430257539e-03
7.0312500000000000e+00,3.3750000000000000e+02,-6.8328161511872591e-03
7.0312500000000000e+00,3.4875000000000000e+02,-6.4079953210833878e-03
9.8437500000000000e+00,0.0000000000000000e+00,9.3076226954232099e-04
9.8437500000000000e+00,1.1250000000000000e+01,-6.7950473819907255e-04
9.8437500000000000e+00,2.2500000000000000e+01,8.0612071646875326e-04
9.8437500000000000e+00,3.3750000000000000e+01,4.8896354659438770e-03
9.8437500000000000e+00,4.5000000000000000e+01,6.8656537919889651e-03
9.8437500000000000e+00,5.6250000000000000e+01,4.8286084241180730e-03
9.8437500000000000e+00,6.7500000000000000e+01,5.6769294873488443e-06
9.8437500000000000e+00,7.8750000000000000e+01,-5.4867526354241370e-03
9.8437500000000000e+00,9.0000000000000000e+01,-7.2671235459673012e-03
9.8437500000000000e+00,1.0125000000000000e+02,4.7256368854824123e-03
9.8437500000000000e+00,1.1250000000000000e+02,1.8748511805840057e-02
9.8437500000000000e+00,1.2375000000000000e+02,2.0069349662388717e-02
9.8437500000000000e+00,1.3500000000000000e+02,1.3099658075054869e-02
9.8437500000000000e+00,1.4625000000000000e+02,2.0065198780067788e-03
9.8437500000000000e+00,1.5750000000000000e+02,-8.3480007776204537e-03
