line_0,line_1,line_2,line_3,line_4,line_5,line_6,line_7,line_8,line_9,line_10,line_11,line_12,line_13,line_14,line_15,line_16,line_17,line_18,line_19,line_20,line_21,line_22,line_23,line_24,line_25,line_26,line_27,line_28,line_29,line_30,line_31,line_32,line_33,line_34,line_35,line_36,line_37,line_38,line_39,line_40,line_41,line_42,line_43
8.3230469274466512e-01,8.3831512869659663e-01,8.4430452193407490e-01,8.5027255201936014e-01,8.5621893083142897e-01,8.6214350670572193e-01,8.6804611830819411e-01,8.7392653469922466e-01,8.7978490723009117e-01,8.8562097020211628e-01,8.9143479156892158e-01,8.9722664200515823e-01,9.0299596733634102e-01,9.0874276554640787e-01,9.1446729921650682e-01,9.2016855984942347e-01,9.2584724084672410e-01,9.3150353230862692e-01,9.3713715635818873e-01,9.4274918059547952e-01,9.4833816158090967e-01,9.5390435116855188e-01,9.5944842921138263e-01,9.6496936963152291e-01,9.7046674178481951e-01,9.7594040812111627e-01,9.8139364349111013e-01,9.8682135538546401e-01,9.9222739783321590e-01,9.9760979309721531e-01,1.0029706338675262e+00,1.0083067346022332e+00,1.0136201642585005e+00,1.0189101006208883e+00,1.0241782098376733e+00,1.0294221790545530e+00,1.0346460171989746e+00,1.0398465162607484e+00,1.0450237453010753e+00,1.0501812038926313e+00,1.0553196895281070e+00,1.0604330065895744e+00,1.0655293399198540e+00,1.0706054334641075e+00,1.0756622754351499e+00
8.4891172311152707e-01,8.4139924411298417e-01,8.3397792601574439e-01,8.2664272665271521e-01,8.1938119391443587e-01,8.1219289868807265e-01,8.0505903934207201e-01,7.9798100591265708e-01,7.9095567804530753e-01,7.8398087113052028e-01,7.7706149369331134e-01,7.7019047425691634e-01,7.6337616761872185e-01,7.5662744851890118e-01,7.4994273257434885e-01,7.4333106813927563e-01,7.3679144467685764e-01,7.3033838311548060e-01,7.2396324040071858e-01,7.1768970212791572e-01,7.1149614903364011e-01,7.0539614651943239e-01,6.9938577986976602e-01,6.9345798023411387e-01,6.8761626612041282e-01,6.8184278689799693e-01,6.7614262773375211e-01,6.7049994331378870e-01,6.6489896442901109e-01,6.5933974096679804e-01,6.5379008769831948e-01,6.4823758127036035e-01,6.4265286266688926e-01,6.3702157836793805e-01,6.3129661023341266e-01,6.2546010010933739e-01,6.1940081899107979e-01,6.1310313683874973e-01,6.0646092105881055e-01,5.9933750734043834e-01,5.9156740986513234e-01,5.8286691602693008e-01,5.7290671745385990e-01,5.6096265704357995e-01,5.4592022416592101e-01
8.3021553751131494e-01,8.3793157906890536e-01,8.4556152250817529e-01,8.5309574865896776e-01,8.6053947621431215e-01,8.6788157060768034e-01,8.7512775628219330e-01,8.8227955236022493e-01,8.8932733924817398e-01,8.9627405055727838e-01,9.0310989156352606e-01,9.0984140875508013e-01,9.1645650105077625e-01,9.2295522994216417e-01,9.2933755670651641e-01,9.3560708904827239e-01,9.4175561408563357e-01,9.4779697297560395e-01,9.5373573182437765e-01,9.5955417651450581e-01,9.6530635738026127e-01,9.7097024859964665e-01,9.7655769924588287e-01,9.8209403846687293e-01,9.8758099937698929e-01,9.9302887599454182e-01,9.9845384656170455e-01,1.0038704596443957e+00,1.0092834378994280e+00,1.0147128835525880e+00,1.0201787922490884e+00,1.0256948459160244e+00,1.0312909315820118e+00,1.0370034700112891e+00,1.0428726261334353e+00,1.0489458491275203e+00,1.0554089658825312e+00,1.0623479791029924e+00,1.0701003555005233e+00,1.0792378878883657e+00,1.0910470148555240e+00,1.1093885362162927e+00,1.1549885928757000e+00,nan,nan
8.4785657289246619e-01,8.4120595939339371e-01,8.3464765918063255e-01,8.2823095724034324e-01,8.2197585573543219e-01,8.1593194278587922e-01,8.1011822450227544e-01,8.0455975030243609e-01,7.9929954920896007e-01,7.9434729723861119e-01,7.8972305851444069e-01,7.8544226351835922e-01,7.8150371498626492e-01,7.7791247209816694e-01,7.7465564074435100e-01,7.7171001014400065e-01,7.6907339118416618e-01,7.6670278549658266e-01,7.6457072305873930e-01,7.6265601360437763e-01,7.6089268844371027e-01,7.5928304541816660e-01,7.5776784728985447e-01,7.5631455620611465e-01,7.5489408050813844e-01,7.5346886622783460e-01,7.5201291260669012e-01,7.5050167048391181e-01,7.4891156775051793e-01,7.4720351276591523e-01,7.4537049645778131e-01,7.4335849944347554e-01,7.4119175864706788e-01,7.3879188321684452e-01,7.3616320639430943e-01,7.3325352557118939e-01,7.2997555260446112e-01,7.2622359340341047e-01,7.2187757936819907e-01,7.1676084624378467e-01,7.1084874543132692e-01,7.0603870410540803e-01,nan,nan,nan
8.3430215581134359e-01,8.3867231175624668e-01,8.4310377881288556e-01,8.4750057924672273e-01,8.5180458915416279e-01,8.5595474812840899e-01,8.5989479223269893e-01,8.6359607239312364e-01,8.6700104513117726e-01,8.7010902329303230e-01,8.7290558701207321e-01,8.7537883394113281e-01,8.7753897848208384e-01,8.7939262883399061e-01,8.8096497243240934e-01,8.8228735724173468e-01,8.8338064649200077e-01,8.8428123302213002e-01,8.8503038766869890e-01,8.8566497763526331e-01,8.8623838325398552e-01,8.8676060210340613e-01,8.8730180795606028e-01,8.8790992907670208e-01,8.8861178740089908e-01,8.8947130925571516e-01,8.9052892551162988e-01,8.9181008723601607e-01,8.9341452173030977e-01,8.9534421880769643e-01,8.9768636962565396e-01,9.0050723111237929e-01,9.0383144603655441e-01,9.0779595513508193e-01,9.1244385739360068e-01,9.1792007062102865e-01,9.2444279088524239e-01,9.3221829754010088e-01,9.4168032571882609e-01,9.5354319422406020e-01,9.6938408599816228e-01,nan,nan,nan,nan
8.4163480003654101e-01,8.4004736985904338e-01,8.3856740552566200e-01,8.3730687823633909e-01,8.3636642569710906e-01,8.3582084370029341e-01,8.3574231164163038e-01,8.3618521032877791e-01,8.3721489147498962e-01,8.3882604756256607e-01,8.4103167746967955e-01,8.4384026302312232e-01,8.4722014944099255e-01,8.5113881648981615e-01,8.5554800902397710e-01,8.6039858600441621e-01,8.6562363667863751e-01,8.7115464447750779e-01,8.7692962828744125e-01,8.8284567719629115e-01,8.8887433437185770e-01,8.9494990049890644e-01,9.0099180406178003e-01,9.0695744279091617e-01,9.1281208081694065e-01,9.1847264617992219e-01,9.2394806466191426e-01,9.2920688540070295e-01,9.3419887773436772e-01,9.3892779053821729e-01,9.4341711352484159e-01,9.4760095809685296e-01,9.5158618643600357e-01,9.5531678229987138e-01,9.5889167745581982e-01,9.6236502799644463e-01,9.6593960089744901e-01,9.6976031385873929e-01,9.7444151752731289e-01,9.8127027481265838e-01,9.9432203612424763e-01,nan,nan,nan,nan
8.4184040552846262e-01,8.4006479525370914e-01,8.3846207758446989e-01,8.3690350948336489e-01,8.3525962598188697e-01,8.3344135012412035e-01,8.3134415510892590e-01,8.2888966276033760e-01,8.2600528722107880e-01,8.2266623331663957e-01,8.1883966273937325e-01,8.1449345367507620e-01,8.0965366836909936e-01,8.0433138968688933e-01,7.9856855288304218e-01,7.9240737116270610e-01,7.8592971583841909e-01,7.7920422565224556e-01,7.7230095485007411e-01,7.6534498116965544e-01,7.5837062798775723e-01,7.5145488863177368e-01,7.4468352527715909e-01,7.3808256254425542e-01,7.3171877736937485e-01,7.2564037206293019e-01,7.1983600034559658e-01,7.1433660523226750e-01,7.0917111010168477e-01,7.0433117167887305e-01,6.9979168773269418e-01,6.9561730558714840e-01,6.9170310077475405e-01,6.8812186908561501e-01,6.8477546424034363e-01,6.8166332069080937e-01,6.7864731152512026e-01,6.7560427048551586e-01,6.7188928206160392e-01,6.6549140588420375e-01,6.4565559912041182e-01,nan,nan,nan,nan
8.3413100766164228e-01,8.3865660731485758e-01,8.4318810920288656e-01,8.4782850973862656e-01,8.5269238391270508e-01,8.5783230600131055e-01,8.6332116153180016e-01,8.6918683335180591e-01,8.7544743557332938e-01,8.8208281102914254e-01,8.8905987127553432e-01,8.9635179707691459e-01,9.0389580937969805e-01,9.1162376313971827e-01,9.1948406232853730e-01,9.2741679308732672e-01,9.3535377987535773e-01,9.4323146243069345e-01,9.5103225175139583e-01,9.5865061111763850e-01,9.6611642698846922e-01,9.7338462574040097e-01,9.8044565885380219e-01,9.8730739596157435e-01,9.9394239021843866e-01,1.0003801291905059e+00,1.0066692887310877e+00,1.0128099876071992e+00,1.0188135796212057e+00,1.0247440848992835e+00,1.0306623227738116e+00,1.0365732401531551e+00,1.0425744945504052e+00,1.0487045861131690e+00,1.0550723527644559e+00,1.0617827365986683e+00,1.0691557188170167e+00,1.0774008796100278e+00,1.0874163274990098e+00,1.1019719966229156e+00,1.1423105962777638e+00,nan,nan,nan,nan
8.4796124452867394e-01,8.4121457535123989e-01,8.3459238859748897e-01,8.2801710029418396e-01,8.2138710574226337e-01,8.1465356563730429e-01,8.0775032415201620e-01,8.0065510311791210e-01,7.9335411804304712e-01,7.8587611388196399e-01,7.7827868222136165e-01,7.7061275078571245e-01,7.6297403249232854e-01,7.5546539264507151e-01,7.4816887811177724e-01,7.4116093340884925e-01,7.3451676525337384e-01,7.2829330290839356e-01,7.2247957519990025e-01,7.1710808756906697e-01,7.1211435414412505e-01,7.0745123469962901e-01,7.0305891510592566e-01,6.9884718733177786e-01,6.9480895364008866e-01,6.9082067683869786e-01,6.8683138669181587e-01,6.8280641066160574e-01,6.7870673896087907e-01,6.7448602351550213e-01,6.7005391631360922e-01,6.6542450990021584e-01,6.6057748588187726e-01,6.5545321798317779e-01,6.5007115878490007e-01,6.4440056343670971e-01,6.3840153975456326e-01,6.3221474612454265e-01,6.2623410783165256e-01,6.2241695123427354e-01,6.5193028725646063e-01,nan,nan,nan,nan
8.3019036732490925e-01,8.3793103880804487e-01,8.4557632119284809e-01,8.5314263313800742e-01,8.6066354296657355e-01,8.6812988600688967e-01,8.7554001657450642e-01,8.8285077978874005e-01,8.9003367687238999e-01,8.9702112407615942e-01,9.0374239098681286e-01,9.1012762225036137e-01,9.1610695483811821e-01,9.2160946264796484e-01,9.2660223998073810e-01,9.3107688839805947e-01,9.3503966915748526e-01,9.3851582638044906e-01,9.4159080318098098e-01,9.4432110556834647e-01,9.4682509548909022e-01,9.4917589686532833e-01,9.5149258260835112e-01,9.5386672716353937e-01,9.5629202544100567e-01,9.5891032954270383e-01,9.6173232584258606e-01,9.6475749426252111e-01,9.6802684459878685e-01,9.7153364571965550e-01,9.7533552084447683e-01,9.7936266875512867e-01,9.8362687408600058e-01,9.8810572334880264e-01,9.9273525332482215e-01,9.9746139054556893e-01,1.0022275598187944e+00,1.0067505075992371e+00,1.0103354902994850e+00,1.0103640790934385e+00,9.9410448667942930e-01,nan,nan,nan,nan
