line_0,line_1,line_2,line_3,line_4,line_5,line_6,line_7,line_8,line_9,line_10,line_11,line_12,line_13,line_14,line_15,line_16,line_17,line_18,line_19,line_20,line_21,line_22,line_23,line_24,line_25,line_26,line_27,line_28,line_29,line_30,line_31,line_32,line_33,line_34,line_35,line_36,line_37,line_38,line_39,line_40,line_41,line_42,line_43
-3.1441307132466772e-03,-5.8431905965738030e-04,1.9558087336243603e-03,4.4765867284348422e-03,6.9782634634344186e-03,9.4612276407963092e-03,1.1925449710735397e-02,1.4371990162275505e-02,1.6800468871188599e-02,1.9211375636232691e-02,2.1605200405449672e-02,2.3982420102518633e-02,2.6342591648067487e-02,2.8686385154244161e-02,3.1013197256187126e-02,3.3323440469154635e-02,3.5617594183233653e-02,3.7895868952236365e-02,4.0158759933460533e-02,4.2406767181334383e-02,4.4638841454318401e-02,4.6855209176418978e-02,4.9056201405616597e-02,5.1241180756977339e-02,5.3409815348583384e-02,5.5562295205071541e-02,5.7700542535101811e-02,5.9819851031127025e-02,6.1923579887602116e-02,6.4010086054275731e-02,6.6081457573232971e-02,6.8133241501730599e-02,7.0167247019387841e-02,7.2182937676580960e-02,7.4180357681253292e-02,7.6158365504207237e-02,7.8117955279925877e-02,8.0057444217947679e-02,8.1975617482301574e-02,8.3875435171369139e-02,8.5755235605397509e-02,8.7609767208543854e-02,8.9446602923824364e-02,9.1260830689600517e-02,9.3052976538438886e-02
1.3407284677833268e-03,2.4868588049985966e-04,-8.2745671094352970e-04,-1.8784013421974158e-03,-2.8927643189072027e-03,-3.8625904686431121e-03,-4.7806085218855621e-03,-5.6412758854756792e-03,-6.4426988791211762e-03,-7.1825117085269662e-03,-7.8605925422396868e-03,-8.4742116730098273e-03,-9.0287374919704594e-03,-9.5231646052178608e-03,-9.9615974041154121e-03,-1.0346902201130688e-02,-1.0682592424223163e-02,-1.0973916907301354e-02,-1.1223937650795567e-02,-1.1438618888688270e-02,-1.1628344282401839e-02,-1.1790556612052312e-02,-1.1937972563815593e-02,-1.2074094228523225e-02,-1.2204275806768687e-02,-1.2335659724113324e-02,-1.2470477717679533e-02,-1.2618863763643585e-02,-1.2779699464317685e-02,-1.2965802099458508e-02,-1.3171864226423186e-02,-1.3416663221836092e-02,-1.3688592316560772e-02,-1.4007164930347987e-02,-1.4371875846845655e-02,-1.4793688610206378e-02,-1.5291474041113022e-02,-1.5890293142885734e-02,-1.6632156332456828e-02,-1.7582141786865537e-02,-1.8848733391027179e-02,-2.0611238990885208e-02,-2.3197508305299302e-02,-2.7237391498860619e-02,-3.3936721154762178e-02
6.9975060788707397e-04,1.2829624881134524e-04,-4.3338205107338435e-04,-1.0103889039148289e-03,-1.6240318509347421e-03,-2.2956585241157893e-03,-3.0407062841152363e-03,-3.8766158062446036e-03,-4.8162983110223295e-03,-5.8626324396280627e-03,-7.0238578336610817e-03,-8.3040055321508006e-03,-9.6979801269859809e-03,-1.1204362808883518e-02,-1.2817288708443517e-02,-1.4525292311727009e-02,-1.6325427390769871e-02,-1.8196561258509467e-02,-2.0130884036535297e-02,-2.2103544397839917e-02,-2.4104735985090935e-02,-2.6125168478966166e-02,-2.8133095617788158e-02,-3.0119181225892033e-02,-3.2066064195737327e-02,-3.3954632120868369e-02,-3.5773388901536890e-02,-3.7499252030779626e-02,-3.9113397628214058e-02,-4.0593162441032116e-02,-4.1923216110359138e-02,-4.3066185800768188e-02,-4.4001344359694640e-02,-4.4679296755787398e-02,-4.5056523335485640e-02,-4.5047126862772360e-02,-4.4567861230990755e-02,-4.3434095444663798e-02,-4.1424657634397538e-02,-3.8162089174710506e-02,-3.3048561426667331e-02,-2.5141801274626278e-02,-1.3876751315542026e-02,nan,nan
-2.6295552872179651e-03,-4.8465256404545316e-04,1.6204223529768060e-03,3.7150770932794898e-03,5.8331131060780595e-03,7.9977489849446005e-03,1.0231564965693487e-02,1.2556689802338634e-02,1.4989375694061845e-02,1.7530535918496438e-02,2.0187397554526722e-02,2.2963607349519143e-02,2.5848775365367064e-02,2.8834526605387229e-02,3.1906382153088032e-02,3.5051618341064544e-02,3.8255424668243734e-02,4.1493792686046749e-02,4.4757046465757150e-02,4.8011969292411978e-02,5.1257909139794298e-02,5.4481925894899558e-02,5.7657845001604112e-02,6.0788167034818194e-02,6.3859110387265300e-02,6.6857584082933560e-02,6.9793476330461152e-02,7.2653421014611697e-02,7.5440890791279830e-02,7.8145183845729591e-02,8.0785017454198721e-02,8.3340683099721091e-02,8.5843252634388759e-02,8.8277117181446554e-02,9.0663373566799835e-02,9.2984501028890207e-02,9.5304217702386645e-02,9.7558904964117676e-02,9.9816977662473216e-02,1.0215231723706242e-01,1.0483055835333292e-01,1.0974779621995796e-01,nan,nan,nan
4.0990782031973278e-03,7.5942753067714732e-04,-2.5458219537044858e-03,-5.8408388874450403e-03,-9.1594803812813288e-03,-1.2519591040305322e-02,-1.5938186867703336e-02,-1.9435696606208579e-02,-2.3018388826834071e-02,-2.6683348325839816e-02,-3.0430720372405077e-02,-3.4253190591162913e-02,-3.8145315567658426e-02,-4.2081490762588894e-02,-4.6054274114479515e-02,-5.0046176342774092e-02,-5.4032594447984091e-02,-5.7996020140918390e-02,-6.1925246548665769e-02,-6.5785154140361152e-02,-6.9593741871744358e-02,-7.3323038738888360e-02,-7.6964250840521914e-02,-8.0527892217841360e-02,-8.4007262740445759e-02,-8.7393343803932003e-02,-9.0710699366774047e-02,-9.3954987706207582e-02,-9.7149968673761092e-02,-1.0028956589095195e-01,-1.0342405383923384e-01,-1.0654748042262187e-01,-1.0971140929731811e-01,-1.1294970596417289e-01,-1.1631935660030851e-01,-1.1989040112022958e-01,-1.2384417044646905e-01,-1.2831677412547648e-01,-1.3374375938237790e-01,-1.4098755750206232e-01,-1.5242201174572040e-01,nan,nan,nan,nan
-4.9062921856670300e-03,-9.0940067849928832e-04,3.0377184447233020e-03,6.9405754757263030e-03,1.0825764638924732e-02,1.4697470377936048e-02,1.8564342759808138e-02,2.2430518275622608e-02,2.6297581019109138e-02,3.0157511835296007e-02,3.4000958918318627e-02,3.7821987916934384e-02,4.1607030471180015e-02,4.5337345440175501e-02,4.9009426363991186e-02,5.2609249151503876e-02,5.6128652559961176e-02,5.9555345723177423e-02,6.2894736225390283e-02,6.6123741869039437e-02,6.9276787257270711e-02,7.2340076427010097e-02,7.5325557592226547e-02,7.8258759777325299e-02,8.1138615124874122e-02,8.3984877907447852e-02,8.6827508326872638e-02,8.9665596673773412e-02,9.2543509941698257e-02,9.5459143177629699e-02,9.8471168992451855e-02,1.0158238374519445e-01,1.0485079199970854e-01,1.0830658957229249e-01,1.1200466892724936e-01,1.1603024117436452e-01,1.2054617828088640e-01,1.2569658808439774e-01,1.3188918185222542e-01,1.3998160180689864e-01,1.5250210498724293e-01,nan,nan,nan,nan
4.8832548965162398e-03,9.0722279803437205e-04,-3.0265182554717923e-03,-6.8965254027438449e-03,-1.0701135584017557e-02,-1.4424886902008943e-02,-1.8051902838010236e-02,-2.1565043709669187e-02,-2.4933580409913069e-02,-2.8150849980369336e-02,-3.1181993098031342e-02,-3.4009843804587735e-02,-3.6626681417092993e-02,-3.9010420181852405e-02,-4.1171121499424271e-02,-4.3114702918564285e-02,-4.4856708973011070e-02,-4.6409703763823175e-02,-4.7815185857532458e-02,-4.9079111759686482e-02,-5.0248918813155408e-02,-5.1341104311717331e-02,-5.2388069739600092e-02,-5.3420004431056524e-02,-5.4441066880729742e-02,-5.5491339435162497e-02,-5.6592960710021047e-02,-5.7747260366400668e-02,-5.8986925159679258e-02,-6.0316302464740026e-02,-6.1772650879624573e-02,-6.3362251180857435e-02,-6.5091178330785496e-02,-6.6988340284118306e-02,-6.9040136826234333e-02,-7.1280857861236238e-02,-7.3729758842433560e-02,-7.6344605716036837e-02,-7.8976448793234733e-02,-8.1004280279859023e-02,-7.8524688838710846e-02,nan,nan,nan,nan
-4.0351106140070871e-03,-7.5282894698212757e-04,2.5145255689532327e-03,5.7154737514717256e-03,8.8176405430941789e-03,1.1782325415801176e-02,1.4570629684863095e-02,1.7144650836203722e-02,1.9463868756270507e-02,2.1504894567808373e-02,2.3230773980128162e-02,2.4615830188841753e-02,2.5655149651734689e-02,2.6322277779409851e-02,2.6637013918257155e-02,2.6609358869413048e-02,2.6267478764531688e-02,2.5643629332936940e-02,2.4783377087476955e-02,2.3737648448925883e-02,2.2554199528271712e-02,2.1277887836418215e-02,1.9969998061931300e-02,1.8682534188605753e-02,1.7437610518624452e-02,1.6307506736788040e-02,1.5303146059576596e-02,1.4444296473624999e-02,1.3767543489760928e-02,1.3260658832371720e-02,1.2958131321937403e-02,1.2841149334797849e-02,1.2869017581573609e-02,1.3045125324088696e-02,1.3291407544083379e-02,1.3554275549937345e-02,1.3700565535330047e-02,1.3539385740841457e-02,1.2590046031502005e-02,9.5605223859653501e-03,-6.6063683435537519e-04,nan,nan,nan,nan
2.5367583744046050e-03,4.7439659270910784e-04,-1.5736642647092699e-03,-3.5305495163004963e-03,-5.3295175306830199e-03,-6.9145109729046176e-03,-8.2252035288415785e-03,-9.2144448262346558e-03,-9.8337607987259140e-03,-1.0064101206205472e-02,-9.8788057568923188e-03,-9.2515424983885611e-03,-8.1941912173530782e-03,-6.6949064523101082e-03,-4.7727426382110274e-03,-2.4557388776032204e-03,2.1216628059867357e-04,3.1827469547644834e-03,6.3935530523449458e-03,9.7531275615374054e-03,1.3210331294793676e-02,1.6687533921837243e-02,2.0107424938229396e-02,2.3410954147549203e-02,2.6551367497866567e-02,2.9474433189494383e-02,3.2179214353983188e-02,3.4638415106896671e-02,3.6820563678885393e-02,3.8750305920698336e-02,4.0397003132076899e-02,4.1774702855684152e-02,4.2907382251460006e-02,4.3773178652573880e-02,4.4419935297172815e-02,4.4871453821204658e-02,4.5212843341550527e-02,4.5576297872362809e-02,4.6545049168179815e-02,5.0364851790883042e-02,8.2879029947796806e-02,nan,nan,nan,nan
-5.9294599994163112e-04,-1.1654794079290145e-04,3.7752787826701473e-04,7.9632635911249807e-04,1.0385483633377889e-03,1.0331813498644746e-03,7.0126684335985881e-04,-1.8395578581567584e-05,-1.1788928794735948e-03,-2.8018512270334339e-03,-4.9046217322543748e-03,-7.4976243565316614e-03,-1.0550967453389732e-02,-1.4043543988608470e-02,-1.7930908051325627e-02,-2.2155811040811109e-02,-2.6650147404095471e-02,-3.1341554491104234e-02,-3.6172847327566225e-02,-4.1037767492075661e-02,-4.5900412905675009e-02,-5.0709331056624868e-02,-5.5395031881672795e-02,-5.9934440831345775e-02,-6.4281078492168131e-02,-6.8418273653174627e-02,-7.2366163705335551e-02,-7.6111938144964211e-02,-7.9637798928501757e-02,-8.2993824330401436e-02,-8.6184370438645574e-02,-8.9217208135138407e-02,-9.2144538122770847e-02,-9.4977589036580656e-02,-9.7771151204064086e-02,-1.0055761715765955e-01,-1.0350187723867101e-01,-1.0670678516894397e-01,-1.1076432538478571e-01,-1.1786826964917498e-01,-1.5831213611559616e-01,nan,nan,nan,nan
