phi,theta,relBn
1.4062500000000000e+00,0.0000000000000000e+00,-9.2056860075613947e-04
1.4062500000000000e+00,1.1250000000000000e+01,-2.0740858422041500e-03
1.4062500000000000e+00,2.2500000000000000e+01,-2.2850973955871024e-03
1.4062500000000000e+00,3.3750000000000000e+01,-5.3793008534279484e-04
1.4062500000000000e+00,4.5000000000000000e+01,8.0145455467775073e-04
1.4062500000000000e+00,5.6250000000000000e+01,1.0549225184560270e-03
1.4062500000000000e+00,6.7500000000000000e+01,1.0085161877640572e-03
1.4062500000000000e+00,7.8750000000000000e+01,-5.1119921952513640e-04
1.4062500000000000e+00,9.0000000000000000e+01,-3.7976330441876426e-04
1.4062500000000000e+00,1.0125000000000000e+02,8.4664066038035463e-03
1.4062500000000000e+00,1.1250000000000000e+02,9.1782350430064507e-03
1.4062500000000000e+00,1.2375000000000000e+02,1.4579401226918190e-03
1.4062500000000000e+00,1.3500000000000000e+02,-4.1522158238864564e-03
1.4062500000000000e+00,1.4625000000000000e+02,-2.6852531125116218e-03
1.4062500000000000e+00,1.5750000000000000e+02,1.5584453599114785e-03
1.4062500000000000e+00,1.6875000000000000e+02,2.6923671291245663e-03
1.4062500000000000e+00,1.8000000000000000e+02,2.8593814146445892e-04
1.4062500000000000e+00,1.9125000000000000e+02,-2.4499862998752240e-03
1.4062500000000000e+00,2.0250000000000000e+02,-2.4280582868067575e-03
1.4062500000000000e+00,2.1375000000000000e+02,7.1704372995264477e-04
1.4062500000000000e+00,2.2500000000000000e+02,2.6319615013693661e-03
1.4062500000000000e+00,2.3625000000000000e+02,-1.5809551728945171e-03
1.4062500000000000e+00,2.4750000000000000e+02,-9.4574101300112286e-03
1.4062500000000000e+00,2.5875000000000000e+02,-1.0859010740494727e-02
1.4062500000000000e+00,2.7000000000000000e+02,-7.8959732239350996e-05
1.4062500000000000e+00,2.8125000000000000e+02,3.0398780300209733e-03
1.4062500000000000e+00,2.9250000000000000e+02,8.9575101135795187e-04
1.4062500000000000e+00,3.0375000000000000e+02,8.3227530284953706e-04
1.4062500000000000e+00,3.1500000000000000e+02,2.3602722884819888e-03
1.4062500000000000e+00,3.2625000000000000e+02,3.4894479415592903e-03
1.4062500000000000e+00,3.3750000000000000e+02,2.8149840367549324e-03
1.4062500000000000e+00,3.4875000000000000e+02,7.1358793339055128e-04
4.2187500000000000e+00,0.0000000000000000e+00,-2.2146062352602866e-03
4.2187500000000000e+00,1.1250000000000000e+01,-1.6966457166814888e-03
4.2187500000000000e+00,2.2500000000000000e+01,6.0221058312723849e-04
4.2187500000000000e+00,3.3750000000000000e+01,4.0902757473205093e-03
4.2187500000000000e+00,4.5000000000000000e+01,3.5756560997567519e-03
4.2187500000000000e+00,5.6250000000000000e+01,1.1943046842571878e-03
4.2187500000000000e+00,6.7500000000000000e+01,1.3330698920294896e-03
4.2187500000000000e+00,7.8750000000000000e+01,1.2743374377110681e-03
4.2187500000000000e+00,9.0000000000000000e+01,-1.4791845766603164e-03
4.2187500000000000e+00,1.0125000000000000e+02,2.1855267712361237e-03
4.2187500000000000e+00,1.1250000000000000e+02,5.4657424790074422e-03
4.2187500000000000e+00,1.2375000000000000e+02,2.4603003016433184e-05
4.2187500000000000e+00,1.3500000000000000e+02,-5.8408546778332690e-03
4.2187500000000000e+00,1.4625000000000000e+02,-4.8967045438630162e-03
4.2187500000000000e+00,1.5750000000000000e+02,2.9818079014694998e-04
4.2187500000000000e+00,1.6875000000000000e+02,2.7687341167544886e-03
4.2187500000000000e+00,1.8000000000000000e+02,8.4755164577689137e-04
4.2187500000000000e+00,1.9125000000000000e+02,-2.0104115623367177e-03
4.2187500000000000e+00,2.0250000000000000e+02,-2.5082270437008793e-03
4.2187500000000000e+00,2.1375000000000000e+02,3.9739582280645115e-05
4.2187500000000000e+00,2.2500000000000000e+02,2.6276234925489512e-03
4.2187500000000000e+00,2.3625000000000000e+02,7.9488401555547004e-04
4.2187500000000000e+00,2.4750000000000000e+02,-5.0606381994876323e-03
4.2187500000000000e+00,2.5875000000000000e+02,-7.4975589959208281e-03
4.2187500000000000e+00,2.7000000000000000e+02,9.4295021565223854e-05
4.2187500000000000e+00,2.8125000000000000e+02,2.8972158555160125e-03
4.2187500000000000e+00,2.9250000000000000e+02,2.5675436681412859e-04
4.2187500000000000e+00,3.0375000000000000e+02,2.9889009725735246e-04
4.2187500000000000e+00,3.1500000000000000e+02,2.2738341975135400e-03
4.2187500000000000e+00,3.2625000000000000e+02,2.7728548331733775e-03
4.2187500000000000e+00,3.3750000000000000e+02,7.5833391601111194e-04
4.2187500000000000e+00,3.4875000000000000e+02,-1.6451853747299196e-03
7.0312500000000000e+00,0.0000000000000000e+00,-2.6441347332862024e-03
7.0312500000000000e+00,1.1250000000000000e+01,-1.1437644252213365e-03
7.0312500000000000e+00,2.2500000000000000e+01,2.0584102701538469e-03
7.0312500000000000e+00,3.3750000000000000e+01,4.6532836912588169e-03
7.0312500000000000e+00,4.5000000000000000e+01,1.2005377216132743e-03
7.0312500000000000e+00,5.6250000000000000e+01,-2.6050396512337084e-03
7.0312500000000000e+00,6.7500000000000000e+01,-8.3466413203776390e-04
7.0312500000000000e+00,7.8750000000000000e+01,1.6343839873426919e-03
7.0312500000000000e+00,9.0000000000000000e+01,-2.1311602652035601e-03
7.0312500000000000e+00,1.0125000000000000e+02,-3.7735439952105380e-03
7.0312500000000000e+00,1.1250000000000000e+02,1.5942097640821609e-03
7.0312500000000000e+00,1.2375000000000000e+02,-6.0228067849052707e-04
7.0312500000000000e+00,1.3500000000000000e+02,-6.1178110902623296e-03
7.0312500000000000e+00,1.4625000000000000e+02,-6.0880877770368921e-03
7.0312500000000000e+00,1.5750000000000000e+02,-6.1638681418808633e-04
7.0312500000000000e+00,1.6875000000000000e+02,2.9501945466045990e-03
7.0312500000000000e+00,1.8000000000000000e+02,1.4464275749631347e-03
7.0312500000000000e+00,1.9125000000000000e+02,-1.5693284006293464e-03
7.0312500000000000e+00,2.0250000000000000e+02,-2.2103322313299220e-03
7.0312500000000000e+00,2.1375000000000000e+02,2.9543790255046780e-04
7.0312500000000000e+00,2.2500000000000000e+02,3.6252816093655686e-03
7.0312500000000000e+00,2.3625000000000000e+02,4.1204176407756907e-03
7.0312500000000000e+00,2.4750000000000000e+02,1.0373580032857032e-03
7.0312500000000000e+00,2.5875000000000000e+02,-1.3830538694568585e-03
7.0312500000000000e+00,2.7000000000000000e+02,8.9132328525375233e-04
7.0312500000000000e+00,2.8125000000000000e+02,4.8302601730380992e-04
7.0312500000000000e+00,2.9250000000000000e+02,-2.0081850837980596e-03
7.0312500000000000e+00,3.0375000000000000e+02,-1.1630955445008945e-03
7.0312500000000000e+00,3.1500000000000000e+02,1.1376951974813605e-03
