line_0,line_1,line_2,line_3,line_4,line_5,line_6,line_7,line_8,line_9,line_10,line_11,line_12,line_13,line_14,line_15,line_16,line_17,line_18,line_19,line_20,line_21,line_22,line_23,line_24,line_25,line_26,line_27,line_28,line_29,line_30,line_31,line_32,line_33,line_34,line_35,line_36,line_37,line_38,line_39,line_40,line_41,line_42,line_43
8.3301504422203598e-01,8.3887935554224746e-01,8.4472521322257266e-01,8.5055247647432675e-01,8.5636049276923354e-01,8.6214851150931648e-01,8.6791928428374265e-01,8.7366793015427358e-01,8.7939699316560249e-01,8.8510667621108241e-01,8.9079588147566247e-01,8.9646439688849611e-01,9.0211296733525581e-01,9.0773830480880802e-01,9.1334405508169259e-01,9.1892284842471805e-01,9.2448540232464993e-01,9.3002389127372498e-01,9.3553896958640370e-01,9.4103124259604909e-01,9.4649774152892019e-01,9.5194265951624879e-01,9.5736461593730948e-01,9.6276480100281281e-01,9.6813983561681671e-01,9.7348868394088761e-01,9.7881597497632955e-01,9.8411628123578065e-01,9.8939351416990629e-01,9.9465182224300197e-01,9.9986296652784556e-01,1.0050768896935045e+00,1.0102515532754466e+00,1.0153948455280659e+00,1.0205252144684320e+00,1.0256293512008869e+00,1.0307074218101651e+00,1.0357600040903665e+00,1.0407824304472209e+00,1.0458040118913623e+00,1.0507824233370819e+00,1.0557329797592419e+00,1.0606620820560111e+00,1.0655586180852599e+00,1.0704418378060807e+00
8.4638239708281571e-01,8.3902346945188178e-01,8.3174146305115482e-01,8.2453994066809533e-01,8.1740901860744597e-01,8.1035635143608298e-01,8.0338323662335076e-01,7.9649501254229116e-01,7.8968394090148608e-01,7.8295890644835642e-01,7.7630686171866792e-01,7.6973844861902319e-01,7.6324133579877040e-01,7.5682540603069537e-01,7.5047558672574499e-01,7.4420173419590752e-01,7.3798598854999964e-01,7.3182387427334872e-01,7.2572535320613352e-01,7.1966764459524646e-01,7.1367001776369610e-01,7.0770134534653650e-01,7.0177201789744470e-01,6.9587947220719581e-01,6.9000747230638482e-01,6.8416409315020410e-01,6.7833008318195809e-01,6.7250861030225106e-01,6.6669382018011236e-01,6.6088995647758542e-01,6.5510533115463310e-01,6.4929135660188242e-01,6.4349038223250388e-01,6.3769301282678381e-01,6.3187243445675989e-01,6.2605635636908297e-01,6.2024145772633232e-01,6.1442134196432041e-01,6.0859870912766267e-01,6.0278675187658881e-01,5.9698849110698293e-01,5.9122923546894524e-01,5.8550011386209921e-01,5.7983990905758387e-01,5.7421606265684422e-01
8.3202864660198506e-01,8.3886798980475041e-01,8.4565335904869232e-01,8.5238143366225527e-01,8.5906943141634251e-01,8.6571869256989131e-01,8.7231803025801402e-01,8.7885812247026662e-01,8.8536400238278179e-01,8.9182053183710508e-01,8.9821858446350766e-01,9.0455528603170410e-01,9.1083170247590550e-01,9.1707659979392253e-01,9.2324295138754375e-01,9.2936073724941837e-01,9.3541563426816665e-01,9.4144047580437362e-01,9.4740332276239514e-01,9.5333315824495346e-01,9.5919257859517837e-01,9.6503438168136446e-01,9.7084314511762526e-01,9.7665027364994950e-01,9.8242259109048125e-01,9.8820476914282218e-01,9.9397616319545590e-01,9.9978986894672872e-01,1.0056142789080613e+00,1.0114569279153491e+00,1.0173495514281179e+00,1.0233423140627844e+00,1.0293726348132657e+00,1.0354885452374194e+00,1.0417511105411725e+00,1.0480973959937283e+00,1.0545753990258211e+00,1.0612142655784571e+00,1.0680404079506034e+00,1.0750178630460652e+00,1.0821795010006257e+00,1.0895481863829675e+00,1.0970770195032860e+00,1.1047793604051059e+00,1.1126172435197277e+00
8.4351378753222039e-01,8.3899439605141868e-01,8.3457507498192740e-01,8.3026654613880158e-01,8.2602040228691631e-01,8.2184513743380427e-01,8.1774434009584596e-01,8.1370424827747978e-01,8.0970707620415772e-01,8.0575271625042066e-01,8.0186107359125647e-01,7.9803948539278802e-01,7.9428147692810480e-01,7.9054654493874132e-01,7.8690281505144410e-01,7.8331150160323348e-01,7.7981812138746465e-01,7.7637603563014013e-01,7.7302399165654778e-01,7.6975883285265467e-01,7.6660499617608524e-01,7.6353293403981426e-01,7.6056896154015674e-01,7.5767568349495962e-01,7.5492546813348715e-01,7.5223843250381006e-01,7.4971767794956323e-01,7.4729767291686178e-01,7.4501825348450768e-01,7.4290905333470181e-01,7.4095087205976373e-01,7.3912862532472690e-01,7.3754707193120794e-01,7.3621456507804794e-01,7.3506404951524507e-01,7.3428622878699401e-01,7.3381973832403347e-01,7.3374379952434476e-01,7.3409161321975269e-01,7.3501036179992374e-01,7.3648547096047778e-01,7.3864042113139117e-01,7.4155374859048184e-01,7.4523081851118944e-01,7.4987847905933913e-01
8.3805753167148345e-01,8.3892765429351013e-01,8.3989991278644771e-01,8.4094579084344978e-01,8.4211599923237779e-01,8.4340498464263747e-01,8.4480684925942018e-01,8.4634421418272388e-01,8.4801130062066765e-01,8.4982180892258574e-01,8.5174450389606393e-01,8.5376994083535807e-01,8.5589883724251925e-01,8.5816333841699688e-01,8.6049333119464222e-01,8.6291720290959062e-01,8.6538144633082903e-01,8.6792429336017352e-01,8.7049674258984788e-01,8.7308874496913069e-01,8.7568859233603114e-01,8.7830045748270757e-01,8.8089135418636910e-01,8.8348726856839754e-01,8.8602615443357846e-01,8.8855862540479469e-01,8.9098329809688548e-01,8.9337510737000103e-01,8.9567172437143650e-01,8.9784416064375283e-01,8.9990752426006759e-01,9.0187827401592302e-01,9.0364294428854208e-01,9.0520147640727611e-01,9.0660542473784589e-01,9.0767787620316531e-01,9.0846132719193429e-01,9.0885998435397852e-01,9.0877570773019944e-01,9.0800841785849051e-01,9.0633070684178119e-01,9.0328452373250023e-01,8.9825742665240171e-01,8.9029058476700940e-01,nan
8.3606012087770465e-01,8.3891681087718006e-01,8.4180718053838499e-01,8.4475650658384616e-01,8.4772574377369381e-01,8.5069849429093314e-01,8.5369388217104603e-01,8.5664977319279279e-01,8.5962493578564059e-01,8.6254569126430891e-01,8.6546379109460347e-01,8.6837869947097146e-01,8.7127724956036867e-01,8.7415487770229683e-01,8.7703975657627953e-01,8.7991374779967424e-01,8.8282836833506095e-01,8.8577031152297359e-01,8.8877300409008653e-01,8.9185691770260578e-01,8.9501052642695533e-01,8.9826018296903898e-01,9.0164282257297745e-01,9.0518809647021525e-01,9.0888490951750545e-01,9.1283139831353333e-01,9.1700625992349039e-01,9.2144674921262226e-01,9.2622192484126520e-01,9.3140926468828933e-01,9.3702447626499064e-01,9.4318201060819551e-01,9.4992313110019133e-01,9.5743903702070976e-01,9.6575385140630510e-01,9.7517095215579241e-01,9.8576778264520037e-01,9.9798265892436544e-01,1.0120909768095518e+00,1.0286381897837058e+00,1.0481642707975218e+00,1.0713641706160826e+00,1.0985732769384069e+00,1.1297032220870726e+00,nan
8.4495646313596084e-01,8.3900541657520988e-01,8.3316776051257024e-01,8.2741729740518344e-01,8.2177722942169795e-01,8.1627449254556317e-01,8.1088748196052052e-01,8.0567854999726984e-01,8.0057928392659805e-01,7.9566819614942030e-01,7.9089277057148410e-01,7.8627289614506946e-01,7.8179367552387447e-01,7.7746160228213002e-01,7.7326290739970338e-01,7.6919216111373290e-01,7.6520502206232210e-01,7.6130434014828741e-01,7.5745774792437004e-01,7.5363341376477944e-01,7.4984268951659228e-01,7.4604519065832597e-01,7.4220565691416218e-01,7.3826655202515379e-01,7.3424255267187033e-01,7.3001472607229345e-01,7.2559680850448660e-01,7.2092323255065316e-01,7.1591711154519333e-01,7.1046327794310393e-01,7.0453226500907118e-01,6.9795695396195778e-01,6.9066894920107769e-01,6.8240003075361177e-01,6.7304184623112595e-01,6.6216264632579669e-01,6.4952391197424986e-01,6.3430229067750876e-01,6.1574049422039512e-01,5.9243975291442774e-01,5.6287503399052163e-01,5.2652377836118169e-01,nan,nan,nan
8.3149576994838381e-01,8.3885893176343718e-01,8.4614114587927314e-01,8.5335975264696540e-01,8.6051698034515589e-01,8.6757232459804734e-01,8.7456180479321188e-01,8.8141312932493510e-01,8.8820625841824219e-01,8.9488323468271225e-01,9.0147303603535123e-01,9.0794966855318426e-01,9.1432787589225684e-01,9.2063517810276130e-01,9.2682946915227649e-01,9.3294743193318352e-01,9.3900154253520340e-01,9.4500608906194894e-01,9.5096156789571940e-01,9.5688610086651593e-01,9.6276345860781087e-01,9.6861603694156861e-01,9.7447445134365429e-01,9.8036819101332118e-01,9.8623348517075626e-01,9.9221915494318280e-01,9.9824749281737846e-01,1.0043828293684158e+00,1.0106450393479522e+00,1.0170768546256010e+00,1.0237342806020913e+00,1.0307920584412824e+00,1.0381102911010092e+00,1.0460857626026228e+00,1.0548223448582659e+00,1.0648010986360279e+00,1.0764542401752184e+00,1.0912439174021695e+00,1.1113043287641262e+00,1.1410558242839686e+00,1.1841949409420860e+00,nan,nan,nan,nan
8.4584710280343389e-01,8.3902396990840888e-01,8.3228990922454105e-01,8.2561622012821578e-01,8.1899373094702099e-01,8.1242698763703702e-01,8.0590491001032671e-01,7.9944793189224983e-01,7.9300501236233878e-01,7.8659593271062012e-01,7.8021581639233517e-01,7.7389750348844044e-01,7.6764018308642878e-01,7.6138050211111230e-01,7.5521167163254144e-01,7.4908948178375423e-01,7.4303569655428658e-01,7.3702553230548273e-01,7.3109673102384631e-01,7.2523410101402974e-01,7.1948932624098139e-01,7.1384653484923843e-01,7.0830854455759684e-01,7.0286961311208263e-01,6.9765444392108467e-01,6.9253158918917823e-01,6.8763356678035215e-01,6.8296056678907702e-01,6.7863216930328496e-01,6.7469925651591345e-01,6.7124090480390719e-01,6.6832435536760260e-01,6.6638121194126854e-01,6.6545232284113609e-01,6.6597136528617296e-01,6.6848614593581079e-01,6.7381851118246505e-01,6.8347457882844387e-01,7.0037860204349589e-01,7.3271367520436215e-01,nan,nan,nan,nan,nan
8.3448900955160232e-01,8.3888925450630025e-01,8.4330087097462914e-01,8.4776825506040332e-01,8.5231541830053237e-01,8.5695080001416835e-01,8.6166485831440776e-01,8.6649446362531013e-01,8.7143193284548326e-01,8.7649744092422865e-01,8.8166563001287157e-01,8.8690728275114317e-01,8.9220452717348742e-01,8.9762399310772678e-01,9.0303566056506279e-01,9.0847542697408301e-01,9.1391741924472591e-01,9.1937080550417805e-01,9.2476013262233681e-01,9.3009702792501936e-01,9.3533487904879742e-01,9.4045107769271896e-01,9.4545600131306062e-01,9.5030845875397252e-01,9.5491056013991482e-01,9.5933744988677017e-01,9.6348194711906587e-01,9.6730975838786570e-01,9.7066861933638771e-01,9.7350354032527420e-01,9.7572578715958080e-01,9.7721755127413923e-01,9.7752235625050898e-01,9.7650586934534767e-01,9.7362622659229725e-01,9.6817657991213246e-01,9.5914914418884056e-01,9.4474567111703400e-01,9.1953224661129307e-01,nan,nan,nan,nan,nan,nan
