line_0,line_1,line_2,line_3,line_4,line_5,line_6,line_7,line_8,line_9,line_10,line_11,line_12,line_13,line_14,line_15,line_16,line_17,line_18,line_19,line_20,line_21,line_22,line_23,line_24,line_25,line_26,line_27,line_28,line_29,line_30,line_31,line_32,line_33,line_34,line_35,line_36,line_37,line_38,line_39,line_40,line_41,line_42,line_43
-2.4981962345541390e-03,-2.6739441653374767e-05,2.4280229777077149e-03,4.8662216132381942e-03,7.2876684044822521e-03,9.6927227776163628e-03,1.2082463959624977e-02,1.4454944101210107e-02,1.6812049165512537e-02,1.9153497127543096e-02,2.1479285365891984e-02,2.3789515689497900e-02,2.6085067446238938e-02,2.8363524918378458e-02,3.0627952824224085e-02,3.2873674091663772e-02,3.5107034535296205e-02,3.7324608933172736e-02,3.9526179095123556e-02,4.1712332184102079e-02,4.3881138724780347e-02,4.6036310587176242e-02,4.8176093947008135e-02,5.0302052596581957e-02,5.2411569396459093e-02,5.4503774441894345e-02,5.6582725549713275e-02,5.8643896608323080e-02,6.0690788295912880e-02,6.2724972323119785e-02,6.4729903547840487e-02,6.6735546633712797e-02,6.8716166201738274e-02,7.0676668141333554e-02,7.2628278989048820e-02,7.4562764420741584e-02,7.6480427949026597e-02,7.8381321354673947e-02,8.0261515945255490e-02,8.2137251561954866e-02,8.3986869567680394e-02,8.5817532343306163e-02,8.7631530702088997e-02,8.9423799134591003e-02,9.1202864046194473e-02
5.3248490026051680e-04,5.9269611291591957e-06,-5.1011379835572601e-04,-1.0250042165794546e-03,-1.5336498001959080e-03,-2.0463915097378126e-03,-2.5539046590601663e-03,-3.0682740975881730e-03,-3.5809160480470186e-03,-4.0951716244584675e-03,-4.6076720301539038e-03,-5.1191848547352970e-03,-5.6282494535857801e-03,-6.1358504678827299e-03,-6.6393751651408267e-03,-7.1372419214012425e-03,-7.6322020113103592e-03,-8.1124083738348465e-03,-8.5876861628153087e-03,-9.0489391539154106e-03,-9.5030239300873537e-03,-9.9425302045380009e-03,-1.0374712014685523e-02,-1.0804428674769313e-02,-1.1218760043140010e-02,-1.1629637620429912e-02,-1.2030774169894532e-02,-1.2418930712068618e-02,-1.2809846379120500e-02,-1.3201833794819076e-02,-1.3586437893609988e-02,-1.3979482818362707e-02,-1.4366557417242135e-02,-1.4758824023345746e-02,-1.5154277867305724e-02,-1.5556745841491882e-02,-1.5970454814133599e-02,-1.6388477630864554e-02,-1.6806321894432871e-02,-1.7241998320797949e-02,-1.7677706210662798e-02,-1.8123836703115792e-02,-1.8553301643400345e-02,-1.8991907451528206e-02,-1.9406697031750776e-02
1.5847349638557467e-03,1.5291694478807198e-05,-1.5360352696752488e-03,-3.0804618019498542e-03,-4.6083460946859988e-03,-6.1137379453220344e-03,-7.6068915342753333e-03,-9.0652383011314060e-03,-1.0506336416243526e-02,-1.1915607050576805e-02,-1.3308922268227739e-02,-1.4680144842210228e-02,-1.6033369673323930e-02,-1.7353109511257955e-02,-1.8663081154871489e-02,-1.9947193159313554e-02,-2.1219255938355806e-02,-2.2477089707987855e-02,-2.3723582732068225e-02,-2.4964467756038743e-02,-2.6199739557488572e-02,-2.7424439367214757e-02,-2.8646522893845176e-02,-2.9853248754972833e-02,-3.1078509496449483e-02,-3.2290362735415676e-02,-3.3520044125527323e-02,-3.4756552813666200e-02,-3.6009573752020560e-02,-3.7276693249098665e-02,-3.8567943996990629e-02,-3.9882246384817931e-02,-4.1251460983195737e-02,-4.2676161167397759e-02,-4.4154504978226518e-02,-4.5714311023819267e-02,-4.7377198414001509e-02,-4.9149606431029294e-02,-5.1075858982921087e-02,-5.3166775125544685e-02,-5.5440721338390092e-02,-5.7924835842327674e-02,-6.0673556241855039e-02,-6.3671390589566904e-02,-6.6994982123010721e-02
-3.2810068868922636e-03,-3.4511960899945749e-05,3.1670555624511588e-03,6.3304915517891549e-03,9.4522298491809265e-03,1.2521526734312883e-02,1.5544763455744418e-02,1.8500602487379170e-02,2.1416245206657813e-02,2.4263453505811248e-02,2.7066306471412230e-02,2.9811108753272336e-02,3.2502707949013256e-02,3.5149622755684451e-02,3.7747501467778499e-02,4.0297664876552799e-02,4.2812046032176296e-02,4.5299863401122409e-02,4.7758686388203783e-02,5.0203928712469627e-02,5.2624450255558133e-02,5.5037272513511135e-02,5.7451163495185122e-02,5.9873937228010328e-02,6.2307797605763354e-02,6.4765153954578727e-02,6.7253592638690463e-02,6.9800755605111481e-02,7.2396871194973816e-02,7.5065505889348780e-02,7.7808588199698492e-02,8.0665645012078943e-02,8.3626513562366958e-02,8.6753341556234098e-02,9.0006643726867452e-02,9.3479421380898792e-02,9.7135687894638098e-02,1.0106387016268983e-01,1.0522696801211144e-01,1.0972392561223869e-01,1.1451784804288592e-01,1.1966564013752094e-01,1.2512155507054554e-01,1.3088025693615679e-01,1.3699243974309569e-01
4.0840002645407790e-03,4.4055492600997832e-05,-3.9503016902890575e-03,-7.9031527502384773e-03,-1.1827343407892219e-02,-1.5696311699933276e-02,-1.9520017638086057e-02,-2.3278686759541662e-02,-2.7001333848044574e-02,-3.0656914620442073e-02,-3.4265302189132311e-02,-3.7808962360139670e-02,-4.1293013623001071e-02,-4.4738924652902461e-02,-4.8121966028464358e-02,-5.1457590866413924e-02,-5.4743885883298288e-02,-5.8005106036553004e-02,-6.1230104888614294e-02,-6.4436227512552471e-02,-6.7608403018282942e-02,-7.0767020813292073e-02,-7.3926482479208661e-02,-7.7105487279248999e-02,-8.0280395855895650e-02,-8.3502157399355320e-02,-8.6744894850146137e-02,-9.0060244931280523e-02,-9.3438322514538125e-02,-9.6899091573638935e-02,-1.0045836804936878e-01,-1.0417992359476910e-01,-1.0803406420352356e-01,-1.1210716305048335e-01,-1.1640624291889159e-01,-1.2102113025213831e-01,-1.2597149498537660e-01,-1.3142187230635291e-01,-1.3740715996924818e-01,-1.4414402754012201e-01,-1.5176309394967813e-01,-1.6053610211433478e-01,-1.7061601500191242e-01,-1.8228723084446305e-01,nan
-3.7898755571891042e-03,-4.3832541962971168e-05,3.6698425124939748e-03,7.3485892724468281e-03,1.1007909617691694e-02,1.4640818442425999e-02,1.8244320942773295e-02,2.1808467933776651e-02,2.5360130263777730e-02,2.8871611421434244e-02,3.2357973221513674e-02,3.5802334572471353e-02,3.9203417657262610e-02,4.2588028045086143e-02,4.5916145428363864e-02,4.9215976487702373e-02,5.2472202454321479e-02,5.5707766239725488e-02,5.8897242945496191e-02,6.2072959745762706e-02,6.5208435342362869e-02,6.8310746432630923e-02,7.1404636597519486e-02,7.4493744816571186e-02,7.7559177897091700e-02,8.0650549006274719e-02,8.3727383166499053e-02,8.6836895255307675e-02,8.9963345393609201e-02,9.3133370326848111e-02,9.6359518905640776e-02,9.9693926428025159e-02,1.0305642152867332e-01,1.0657373834359414e-01,1.1024063901475877e-01,1.1408452521444179e-01,1.1811823217375719e-01,1.2247332701892877e-01,1.2715995003712474e-01,1.3222017109997503e-01,1.3766663929750453e-01,1.4330662122566498e-01,1.4852774862123905e-01,1.5170531484992023e-01,nan
2.4809139612989892e-03,3.0357402151805757e-05,-2.3890030540302414e-03,-4.7862765851036260e-03,-7.1769394350792472e-03,-9.5654350902971853e-03,-1.1942141024607890e-02,-1.4317043311683188e-02,-1.6705383318916203e-02,-1.9103022541125270e-02,-2.1501390785281470e-02,-2.3893600429291516e-02,-2.6274440367673010e-02,-2.8670805061615665e-02,-3.1031355371559471e-02,-3.3390908199147321e-02,-3.5712020416504016e-02,-3.8019451794946618e-02,-4.0274429370983779e-02,-4.2498635494762640e-02,-4.4664487360446634e-02,-4.6761959226164808e-02,-4.8811642037757459e-02,-5.0783765595514896e-02,-5.2667189600727929e-02,-5.4462367300868446e-02,-5.6133418158864107e-02,-5.7698698515255484e-02,-5.9110622154549472e-02,-6.0342181864364193e-02,-6.1395768754909145e-02,-6.2244017281441112e-02,-6.2783820759915010e-02,-6.3021835751598199e-02,-6.2919103575412208e-02,-6.2349700287633800e-02,-6.1320022037903203e-02,-5.9825999098331882e-02,-5.7982831797026430e-02,-5.6181820508031770e-02,-5.5337760678337643e-02,-5.6627981481984356e-02,nan,nan,nan
-4.9493157369969777e-04,-8.9851929076732673e-06,4.7795909566848374e-04,9.7037245264741017e-04,1.4855339902028789e-03,2.0465131295761040e-03,2.6322710062188326e-03,3.2793291513699419e-03,3.9673470746746297e-03,4.7323744694217759e-03,5.5441031098385721e-03,6.4085365301713047e-03,7.2993627123027890e-03,8.2573078263126990e-03,9.2238568187083137e-03,1.0224347263420228e-02,1.1213786843066322e-02,1.2212517920461640e-02,1.3170783355789764e-02,1.4086525093778135e-02,1.4949629016600989e-02,1.5720479863294029e-02,1.6411145940618582e-02,1.6973706500707501e-02,1.7385116982998217e-02,1.7612722021155099e-02,1.7641525631502331e-02,1.7429670587236712e-02,1.6903015345552653e-02,1.5998500676545638e-02,1.4684968247022010e-02,1.2873733421759938e-02,1.0397024124884694e-02,7.1436548234482698e-03,2.9325647794917272e-03,-2.5766014084706496e-03,-9.7343370389906640e-03,-1.9360005677687898e-02,-3.2708843873063158e-02,-5.2756185501471625e-02,-8.6637348165085282e-02,nan,nan,nan,nan
-1.6196318300849240e-03,-1.6695388684019441e-05,1.5676911365774431e-03,3.1205627814889884e-03,4.6271820016738179e-03,6.0638825504864269e-03,7.4504218644698287e-03,8.7481679169478226e-03,9.9830995773998038e-03,1.1115702829676543e-02,1.2172781349802165e-02,1.3149100011370344e-02,1.4064546265217968e-02,1.4898950256132524e-02,1.5692458384159735e-02,1.6430626184897539e-02,1.7149743554024984e-02,1.7841794051637303e-02,1.8548236601816748e-02,1.9293153497517580e-02,2.0056015512720581e-02,2.0887228259299392e-02,2.1787093091449914e-02,2.2815392507876262e-02,2.3955352003824162e-02,2.5309497563296011e-02,2.6857077042430157e-02,2.8663500686719884e-02,3.0824790753623304e-02,3.3416150516998956e-02,3.6501364376932646e-02,4.0271901438147982e-02,4.4880054369071248e-02,5.0607295709177012e-02,5.7765310385050263e-02,6.6943168667097902e-02,7.8711417157450433e-02,9.4568583804898396e-02,1.1641624939335170e-01,1.4781671393165402e-01,nan,nan,nan,nan,nan
3.2931793618116269e-03,3.7606603235322824e-05,-3.1906837214991011e-03,-6.3925939284526839e-03,-9.5456286938319958e-03,-1.2637964865702789e-02,-1.5679838612181102e-02,-1.8628252480423130e-02,-2.1528587221263992e-02,-2.4340801469669892e-02,-2.7087262925957031e-02,-2.9751714164403406e-02,-3.2352597447473971e-02,-3.4899610439089027e-02,-3.7397905072431910e-02,-3.9846608624269066e-02,-4.2270395947594047e-02,-4.4676177626043645e-02,-4.7089178768573541e-02,-4.9530463881975073e-02,-5.1975202179832841e-02,-5.4470744445639478e-02,-5.7011870014988544e-02,-5.9666004531025454e-02,-6.2379197744051575e-02,-6.5292118310981806e-02,-6.8345677908831198e-02,-7.1614678991381395e-02,-7.5164797116034104e-02,-7.9065148934817392e-02,-8.3361248819889960e-02,-8.8244715219994163e-02,-9.3734323428479233e-02,-1.0011748228235937e-01,-1.0756072327235407e-01,-1.1649782431929806e-01,-1.2742240951295405e-01,-1.4268780941884890e-01,-1.6979817342849965e-01,nan,nan,nan,nan,nan,nan
