line_0,line_1,line_2,line_3,line_4,line_5,line_6,line_7,line_8,line_9,line_10,line_11,line_12,line_13,line_14,line_15,line_16,line_17,line_18,line_19,line_20,line_21,line_22,line_23,line_24,line_25,line_26,line_27,line_28,line_29,line_30,line_31,line_32,line_33,line_34,line_35,line_36,line_37,line_38,line_39,line_40,line_41,line_42,line_43
8.3172782555563030e-01,8.3752973737396097e-01,8.4331191082871826e-01,8.4907312610159646e-01,8.5481516057413431e-01,8.6053714676626669e-01,8.6623752599779669e-01,8.7191632626514659e-01,8.7757320229467806e-01,8.8320869225954179e-01,8.8882067829492351e-01,8.9441333150026081e-01,8.9998312547498327e-01,9.0553108285656470e-01,9.1105594671717083e-01,9.1655933905058251e-01,9.2203862928162905e-01,9.2749440297499297e-01,9.3292651851510255e-01,9.3833421333963241e-01,9.4371970153707763e-01,9.4908218490719631e-01,9.5441907284406535e-01,9.5973398840478585e-01,9.6502071935166989e-01,9.7028657765746851e-01,9.7552732941443221e-01,9.8074175059686497e-01,9.8593595042108007e-01,9.9110145597573951e-01,9.9625222628201959e-01,1.0013678061674971e+00,1.0064571064171248e+00,1.0115212166811602e+00,1.0165711443600056e+00,1.0216071228233052e+00,1.0266024147738333e+00,1.0315892260094137e+00,1.0365428039195650e+00,1.0414729851884321e+00,1.0463937212205026e+00,1.0512721608906255e+00,1.0561384812018066e+00,1.0609833599038627e+00,1.0658040967251188e+00
8.4733863464537507e-01,8.4005370787545552e-01,8.3285471591501747e-01,8.2572421696644505e-01,8.1866380785676063e-01,8.1168145894271948e-01,8.0475930065657397e-01,7.9790983143588623e-01,7.9112343412135733e-01,7.8439722868430950e-01,7.7774198515903714e-01,7.7113702691033692e-01,7.6459374120925572e-01,7.5810842257756272e-01,7.5168210511695432e-01,7.4531672855177611e-01,7.3901068673015857e-01,7.3275949968701715e-01,7.2658048570967904e-01,7.2044158242152312e-01,7.1437506375035342e-01,7.0838818260833691e-01,7.0245020103679479e-01,6.9657307103565547e-01,6.9077196834691690e-01,6.8504179982760893e-01,6.7936142624542017e-01,6.7377462130519816e-01,6.6823542605000452e-01,6.6279222072831223e-01,6.5740170844337231e-01,6.5208674350143669e-01,6.4686246848556417e-01,6.4171428001937358e-01,6.3661998826636390e-01,6.3159885323775400e-01,6.2666273203822076e-01,6.2180685233116206e-01,6.1700324399380935e-01,6.1230528703566434e-01,6.0765154846858060e-01,6.0310714155891965e-01,5.9860730467530876e-01,5.9420005167030032e-01,5.8986548141736528e-01
8.3011197770525180e-01,8.3727203734627242e-01,8.4436169749715950e-01,8.5138304494333861e-01,8.5833685964336814e-01,8.6522449123260980e-01,8.7203945469039934e-01,8.7877209376566678e-01,8.8542773687403875e-01,8.9201471855718384e-01,8.9851460768279268e-01,9.0495287768850785e-01,9.1130681343377085e-01,9.1758903438921591e-01,9.2379348611417422e-01,9.2993287324537910e-01,9.3597858094736763e-01,9.4197991938980130e-01,9.4789484485856523e-01,9.5374302218567220e-01,9.5953139834337842e-01,9.6523814277799513e-01,9.7089088338770313e-01,9.7648199498694099e-01,9.8201135264876005e-01,9.8748504742649879e-01,9.9291539521093042e-01,9.9828981695549857e-01,1.0036138255493761e+00,1.0089055636749653e+00,1.0141587042064344e+00,1.0193376852552269e+00,1.0245118892385370e+00,1.0296352436336325e+00,1.0347313331338963e+00,1.0398437848126489e+00,1.0448718171078273e+00,1.0499075467314172e+00,1.0549101525476854e+00,1.0598797683745911e+00,1.0648497413632587e+00,1.0697512142784771e+00,1.0746723908595479e+00,1.0795448399378385e+00,1.0843910685234326e+00
8.4525209708272864e-01,8.3970976705232403e-01,8.3427944103553908e-01,8.2895461944800841e-01,8.2375063234207135e-01,8.1867678854473480e-01,8.1374070888026961e-01,8.0897237925803633e-01,8.0436914110351754e-01,7.9992320215003909e-01,7.9566036872523072e-01,7.9157607355885395e-01,7.8768383243230800e-01,7.8396976739540913e-01,7.8045396598768613e-01,7.7712512808650536e-01,7.7400098256248251e-01,7.7104795278168026e-01,7.6826447696888978e-01,7.6569759123933534e-01,7.6327416129263836e-01,7.6100355518257456e-01,7.5891209540367299e-01,7.5695636953361944e-01,7.5514491361380620e-01,7.5342364574531373e-01,7.5183113150007119e-01,7.5030622586035634e-01,7.4890826398271815e-01,7.4751626832834972e-01,7.4618188931816176e-01,7.4494447984939760e-01,7.4365988826044838e-01,7.4239989716959820e-01,7.4116398055589405e-01,7.3985108038039282e-01,7.3855672963981855e-01,7.3717464902221475e-01,7.3573583570702428e-01,7.3425303037666889e-01,7.3270867851930011e-01,7.3104082069958964e-01,7.2927465416471382e-01,7.2743933313493470e-01,7.2547827091499029e-01
8.3553808018940390e-01,8.3813640162193370e-01,8.4080390924636261e-01,8.4350877044303119e-01,8.4623880475859736e-01,8.4897058935989167e-01,8.5167355902340169e-01,8.5433088180085159e-01,8.5692971909418514e-01,8.5946306443326903e-01,8.6192010952962594e-01,8.6428507449148750e-01,8.6655072586182880e-01,8.6873281154182858e-01,8.7081518160593629e-01,8.7279279391634057e-01,8.7466950727398196e-01,8.7646378085239396e-01,8.7818641234890571e-01,8.7979288216339080e-01,8.8134910262834398e-01,8.8285760788700163e-01,8.8427908750081508e-01,8.8567342201405852e-01,8.8701710526937882e-01,8.8837490380439654e-01,8.8969725125051080e-01,8.9105927989031986e-01,8.9239021633929461e-01,8.9381418439509963e-01,8.9527450835561817e-01,8.9673432312950696e-01,8.9834108731568352e-01,9.0001342902082793e-01,9.0175689979067908e-01,9.0366964846326503e-01,9.0566266495315995e-01,9.0782609210516474e-01,9.1013725996043338e-01,9.1258792678913336e-01,9.1519141559302919e-01,9.1800353230721432e-01,9.2098913965603912e-01,9.2413606873153331e-01,9.2750354438185745e-01
8.3782850035548451e-01,8.3851071111035691e-01,8.3927497076049073e-01,8.4017169825421789e-01,8.4119458455599683e-01,8.4238472082488125e-01,8.4376722404810023e-01,8.4535250053988797e-01,8.4714819845618394e-01,8.4917827736209517e-01,8.5142253961037540e-01,8.5394144670401462e-01,8.5670534151645539e-01,8.5969976326995801e-01,8.6293138100881539e-01,8.6640633560367875e-01,8.7011604938314513e-01,8.7402232660834378e-01,8.7812031234287591e-01,8.8243592143542449e-01,8.8689797162644401e-01,8.9149914961195686e-01,8.9625379510067460e-01,9.0114000995834220e-01,9.0610449483112332e-01,9.1110846413296975e-01,9.1624973763691164e-01,9.2134263982551823e-01,9.2649940309425527e-01,9.3158954721024045e-01,9.3673665458734823e-01,9.4180488426471709e-01,9.4678136311788630e-01,9.5170411879982642e-01,9.5651070762669321e-01,9.6124030659309390e-01,9.6582837008123634e-01,9.7026891467448251e-01,9.7442259267041087e-01,9.7858261228797694e-01,9.8255799325700688e-01,9.8620225868179301e-01,9.8965666929240770e-01,9.9280671634726514e-01,9.9579775603564580e-01
8.4348382983848125e-01,8.3942494266679746e-01,8.3548825930063009e-01,8.3163258337698187e-01,8.2784850406656507e-01,8.2408637959851172e-01,8.2030606062297129e-01,8.1650182943428240e-01,8.1266458718763601e-01,8.0873615635486507e-01,8.0474794345468148e-01,8.0062495165212177e-01,7.9638216173603871e-01,7.9203016225500866e-01,7.8755404117595162e-01,7.8293693943957698e-01,7.7817682094928575e-01,7.7330553861056139e-01,7.6832712265534042e-01,7.6320840939615675e-01,7.5801308745884044e-01,7.5273776912159107e-01,7.4738842413288287e-01,7.4195539822228207e-01,7.3651448671442732e-01,7.3108983224703206e-01,7.2559119605329281e-01,7.2020160147239254e-01,7.1482061886443826e-01,7.0957406182079252e-01,7.0433490599237591e-01,6.9925165504524034e-01,6.9433425638611890e-01,6.8955530702422041e-01,6.8496735954335830e-01,6.8055526109763131e-01,6.7636682363395584e-01,6.7242421777125316e-01,6.6884396332379836e-01,6.6537581190480233e-01,6.6220393808127842e-01,6.5944170125104662e-01,6.5697915746395108e-01,6.5489405313225435e-01,6.5310885392883344e-01
8.3103251878244000e-01,8.3741588813506129e-01,8.4376110139713401e-01,8.5007569063202482e-01,8.5637239601073978e-01,8.6270023362958670e-01,8.6905653374752756e-01,8.7544583216571414e-01,8.8183544400670411e-01,8.8832040512403321e-01,8.9480352254763129e-01,9.0136036113472140e-01,9.0796384251450557e-01,9.1458831918362715e-01,9.2121932555913000e-01,9.2788399380725106e-01,9.3456730167503199e-01,9.4125097397352298e-01,9.4788589723602579e-01,9.5451432582136053e-01,9.6109778272377333e-01,9.6765323833018357e-01,9.7412416906662536e-01,9.8056589974916886e-01,9.8692792321293354e-01,9.9319000867216933e-01,9.9944093136151135e-01,1.0055111896981908e+00,1.0115084923118469e+00,1.0173874329274217e+00,1.0232350661761862e+00,1.0288844043022578e+00,1.0344567866270760e+00,1.0398949502986452e+00,1.0451986802010877e+00,1.0504194204229531e+00,1.0554968334207395e+00,1.0604805872013856e+00,1.0652023898367737e+00,1.0699624952154840e+00,1.0745828397662818e+00,1.0789861802109226e+00,1.0833049436489159e+00,1.0874439594401915e+00,1.0915708004187505e+00
8.4749870880850242e-01,8.4008142751144144e-01,8.3273746411298899e-01,8.2547453592487285e-01,8.1828739902881742e-01,8.1114204534391909e-01,8.0406677313075892e-01,7.9706314551227442e-01,7.9015624307615939e-01,7.8326828715887520e-01,7.7650671869564658e-01,7.6981112506198601e-01,7.6321449885656945e-01,7.5673042768480259e-01,7.5040150665997829e-01,7.4419138413104002e-01,7.3812961011654821e-01,7.3223203154828853e-01,7.2656431033325708e-01,7.2106576481872942e-01,7.1578574067495648e-01,7.1068169481189247e-01,7.0584772373895022e-01,7.0117079616337608e-01,6.9673213445980642e-01,6.9246961865509937e-01,6.8835076052687216e-01,6.8444632110970705e-01,6.8069874860412183e-01,6.7703320890539098e-01,6.7340900021403094e-01,6.6997074739448348e-01,6.6646952802521542e-01,6.6302124060590750e-01,6.5954337639956218e-01,6.5598888072441575e-01,6.5235831275320710e-01,6.4857338712093049e-01,6.4476805358726141e-01,6.4070340009698901e-01,6.3646625377738897e-01,6.3213345082367967e-01,6.2755846169127272e-01,6.2286075056103185e-01,6.1789461309396676e-01
8.3051304094901834e-01,8.3732953745656113e-01,8.4410797723943332e-01,8.5081080946927867e-01,8.5741663466177309e-01,8.6393300644099669e-01,8.7032898354308541e-01,8.7656244707534658e-01,8.8263776500085334e-01,8.8859362671851705e-01,8.9433635781178333e-01,8.9988996752346218e-01,9.0525808471280977e-01,9.1041051799158956e-01,9.1533490175409593e-01,9.2008228704687789e-01,9.2460132178007826e-01,9.2889397635248849e-01,9.3296901395783127e-01,9.3681209639379592e-01,9.4048082467473426e-01,9.4397606759549280e-01,9.4726498316574326e-01,9.5044455295009644e-01,9.5346804939556551e-01,9.5643606746742627e-01,9.5933022189122896e-01,9.6214757513332771e-01,9.6493677512848330e-01,9.6778083889464339e-01,9.7071118793632649e-01,9.7360334586993769e-01,9.7670798629635691e-01,9.7990705362486707e-01,9.8326261073606536e-01,9.8684030229976816e-01,9.9061996187951640e-01,9.9468298257623722e-01,9.9887034532583641e-01,1.0034393789496006e+00,1.0082882360764278e+00,1.0133022966531464e+00,1.0186482941571458e+00,1.0241755211128112e+00,1.0300340960594245e+00
8.4439551000355006e-01,8.3958073314132442e-01,8.3485284649815883e-01,8.3026373922907382e-01,8.2587058714180650e-01,8.2170823334142340e-01,8.1782101267778862e-01,8.1426094688857864e-01,8.1103148706327055e-01,8.0818132070808246e-01,8.0573618153638993e-01,8.0377502813172719e-01,8.0225357199179070e-01,8.0122598726479777e-01,8.0067892380502392e-01,8.0060268677735791e-01,8.0105395416532599e-01,8.0199967547943218e-01,8.0339147385041298e-01,8.0533127653743553e-01,8.0764762652006561e-01,8.1040608633998268e-01,8.1353045166776305e-01,8.1701763859220000e-01,8.2079662184487356e-01,8.2474602400056463e-01,8.2899012989494836e-01,8.3334685893866023e-01,8.3783917276649544e-01,8.4227466117476968e-01,8.4674127008577904e-01,8.5118208381285676e-01,8.5536390834870879e-01,8.5938365633316283e-01,8.6318633077161422e-01,8.6660797207979257e-01,8.6980111282616090e-01,8.7247877819315400e-01,8.7471885792061055e-01,8.7665726602666705e-01,8.7795979836855098e-01,8.7879780827429543e-01,8.7912972904469755e-01,8.7879412291408499e-01,8.7801247860955622e-01
8.3669599486528812e-01,8.3832155759208815e-01,8.4004739339626711e-01,8.4181540781975950e-01,8.4354508463883870e-01,8.4517478325121154e-01,8.4665441689688314e-01,8.4792337911421345e-01,8.4900609853540443e-01,8.4980112144697739e-01,8.5032879455969179e-01,8.5047756096957328e-01,8.5031459273686461e-01,8.4978726064539378e-01,8.4891365678980513e-01,8.4769782379971126e-01,8.4608669669861980e-01,8.4411995585272270e-01,8.4184423017359866e-01,8.3913773058217489e-01,8.3618691631624764e-01,8.3290111204585415e-01,8.2936182839962413e-01,8.2555863416769015e-01,8.2155850800120800e-01,8.1747537192708719e-01,8.1318006577753799e-01,8.0884035950958610e-01,8.0444494892266782e-01,8.0017129094418149e-01,7.9595037070338659e-01,7.9181302927438479e-01,7.8801864717156567e-01,7.8446346400357470e-01,7.8120686221073032e-01,7.7842997359740129e-01,7.7597881608789998e-01,7.7414677415675326e-01,7.7284868694984865e-01,7.7198991643733839e-01,7.7189792659496215e-01,7.7237782888558892e-01,7.7350095296767762e-01,7.7538788805065240e-01,7.7789460606884675e-01
8.3663452797872540e-01,8.3831745769121091e-01,8.4006251230712881e-01,8.4193668458750970e-01,8.4398451542111652e-01,8.4630446247285596e-01,8.4891567781262944e-01,8.5189423710655687e-01,8.5516585198284478e-01,8.5887768465158099e-01,8.6294601103190838e-01,8.6748405965921660e-01,8.7238967015427937e-01,8.7770831431515117e-01,8.8336529161245680e-01,8.8937110974158606e-01,8.9572399317430818e-01,9.0234415528250700e-01,9.0913962480436505e-01,9.1623574449037226e-01,9.2341117390094407e-01,9.3076676788412693e-01,9.3814052312352147e-01,9.4560156137954443e-01,9.5304721211988974e-01,9.6042318689905015e-01,9.6781981530007100e-01,9.7506771745853238e-01,9.8221293526749986e-01,9.8918586053729629e-01,9.9609787929260951e-01,1.0027838557526207e+00,1.0092813908118070e+00,1.0155813402982234e+00,1.0217038530821736e+00,1.0275974592712929e+00,1.0333463195618593e+00,1.0387829966740940e+00,1.0439276133070610e+00,1.0490413548140625e+00,1.0538662239231440e+00,1.0584360406525977e+00,1.0628481314375740e+00,1.0668308140644551e+00,1.0707904068026228e+00
8.4445024385306455e-01,8.3957518475288939e-01,8.3484348214319248e-01,8.3016821756538217e-01,8.2550848673828559e-01,8.2077560070197741e-01,8.1593772088368877e-01,8.1093257310710487e-01,8.0580593192023797e-01,8.0040169360985791e-01,7.9481093717740192e-01,7.8890780757700962e-01,7.8278510935370971e-01,7.7637970952876245e-01,7.6976572229526763e-01,7.6292694357466040e-01,7.5585553327659183e-01,7.4863440931919345e-01,7.4135132681883931e-01,7.3389071850506504e-01,7.2646552760235117e-01,7.1896153614678437e-01,7.1158271513312710e-01,7.0422362182373333e-01,6.9700345045323531e-01,6.8995916208008101e-01,6.8301869117840508e-01,6.7632498827505538e-01,6.6983829027667074e-01,6.6358241293264320e-01,6.5745972733101476e-01,6.5161774516981785e-01,6.4593975556512284e-01,6.4045250683454180e-01,6.3513586400296485e-01,6.2991616017902674e-01,6.2481472442992658e-01,6.1989164339263247e-01,6.1511721838526501e-01,6.1031004961312474e-01,6.0560461410126287e-01,6.0106745829460206e-01,5.9658286126145954e-01,5.9239138762439858e-01,5.8817674578045864e-01
8.3047948185879183e-01,8.3733266358973513e-01,8.4410238145697136e-01,8.5086082016019049e-01,8.5758961825462310e-01,8.6437288875070051e-01,8.7118239041097201e-01,8.7804277483282867e-01,8.8489646527569110e-01,8.9185384020621761e-01,8.9878977996221043e-01,9.0579526548680767e-01,9.1275067312831015e-01,9.1969185613029847e-01,9.2657628338312614e-01,9.3338544069666884e-01,9.4010126104018310e-01,9.4665430216101554e-01,9.5301979065841791e-01,9.5922987089778189e-01,9.6522322788843129e-01,9.7106054718546975e-01,9.7656850336615042e-01,9.8192415387955168e-01,9.8704425388340389e-01,9.9198905032558526e-01,9.9674262200564478e-01,1.0012784359240188e+00,1.0056533244589361e+00,1.0099673506115987e+00,1.0142209208269710e+00,1.0183640151584170e+00,1.0225628389661385e+00,1.0267660279259199e+00,1.0310209058769595e+00,1.0354429798152753e+00,1.0399415374105283e+00,1.0445764132151103e+00,1.0492803523521939e+00,1.0542664587223680e+00,1.0594420159450910e+00,1.0646931569763971e+00,1.0701516627876813e+00,1.0755649376783603e+00,1.0812556205718480e+00
8.4749982465563922e-01,8.4007884734351046e-01,8.3275281866834217e-01,8.2548052495052948e-01,8.1832799682769197e-01,8.1123332519051872e-01,8.0426642133455317e-01,7.9742384411425837e-01,7.9077393409761787e-01,7.8425568376589827e-01,7.7800199751406596e-01,7.7198026679563692e-01,7.6629869364536507e-01,7.6097687379659917e-01,7.5605141036544099e-01,7.5154591670439685e-01,7.4754685555261347e-01,7.4410838950620994e-01,7.4120958471962750e-01,7.3892781265688046e-01,7.3717961610728011e-01,7.3601510817896576e-01,7.3547779678883940e-01,7.3544922020509329e-01,7.3592617804016558e-01,7.3676911938070089e-01,7.3809292048962072e-01,7.3975592838867921e-01,7.4171770870311871e-01,7.4373324624038228e-01,7.4591204070356043e-01,7.4814059086330820e-01,7.5019207480691763e-01,7.5207591050109712e-01,7.5374346028584405e-01,7.5496892365989099e-01,7.5585510499305486e-01,7.5612448849051639e-01,7.5587945825443748e-01,7.5509551009975717e-01,7.5348561191114882e-01,7.5125965404262718e-01,7.4827625890632454e-01,7.4452430412913106e-01,7.4000758870384076e-01
8.3105308405042211e-01,8.3742185293709015e-01,8.4374363153965926e-01,8.5001545645486998e-01,8.5612324470017964e-01,8.6211761229179074e-01,8.6788362068950897e-01,8.7340338237788195e-01,8.7863770540016084e-01,8.8357708189476969e-01,8.8815869567422523e-01,8.9236310516278328e-01,8.9613457345154268e-01,8.9947185823598907e-01,9.0237086905285113e-01,9.0483987366581764e-01,9.0681082893679210e-01,9.0827517001400271e-01,9.0931645725973664e-01,9.0984471085832397e-01,9.0999970782513118e-01,9.0972832276606119e-01,9.0904209232354594e-01,9.0802878731108883e-01,9.0671865116729478e-01,9.0523518964923011e-01,9.0346024806375747e-01,9.0153671627686383e-01,8.9947409777697485e-01,8.9751768107621577e-01,8.9553934402011248e-01,8.9363592011395832e-01,8.9203008197980704e-01,8.9069405374404720e-01,8.8967812291344472e-01,8.8919007173255371e-01,8.8912579003378200e-01,8.8976200631141167e-01,8.9096175124828803e-01,8.9279518557559323e-01,8.9551440947291272e-01,8.9888407597146536e-01,9.0309961689338447e-01,9.0806568254615516e-01,9.1389091467008787e-01
8.4345032692746091e-01,8.3942707153594853e-01,8.3550212690000303e-01,8.3173682996192722e-01,8.2826891540731518e-01,8.2510482826470544e-01,8.2240485247554662e-01,8.2020585100220134e-01,8.1852620861220460e-01,8.1749277308827417e-01,8.1710721612144632e-01,8.1749742387284963e-01,8.1863656426578890e-01,8.2057061262730668e-01,8.2325982924313523e-01,8.2671246602714210e-01,8.3096976990842697e-01,8.3598074860306482e-01,8.4159950962514263e-01,8.4795635057104646e-01,8.5478668638680855e-01,8.6220593255597144e-01,8.6991973680791923e-01,8.7802417409533917e-01,8.8631206296471099e-01,8.9469879739628011e-01,9.0325882001518620e-01,9.1175222113279764e-01,9.2016360169052969e-01,9.2834602353398854e-01,9.3648477452077439e-01,9.4424460328951321e-01,9.5180059634577496e-01,9.5888529207292439e-01,9.6570653519797511e-01,9.7207211465067744e-01,9.7807211783758541e-01,9.8355665313141072e-01,9.8851560702971097e-01,9.9307091583451412e-01,9.9710261055756044e-01,1.0004427243956249e+00,1.0032690261639496e+00,1.0052025340048150e+00,1.0065753559121582e+00
8.3786179862854326e-01,8.3850559233482425e-01,8.3926403694523077e-01,8.4004663972457594e-01,8.4071892125052561e-01,8.4121880603748944e-01,8.4141041825811091e-01,8.4123946064382904e-01,8.4070741301062668e-01,8.3965163205343685e-01,8.3811743097174340e-01,8.3594423034290066e-01,8.3318834688809018e-01,8.2979775605669925e-01,8.2580099277319763e-01,8.2119894825327833e-01,8.1592263724838343e-01,8.1002416763180973e-01,8.0363406494897127e-01,7.9659940562983333e-01,7.8916775382981541e-01,7.8121749465420798e-01,7.7303652955962432e-01,7.6450720437697628e-01,7.5585239465623655e-01,7.4713508105951054e-01,7.3829542249674451e-01,7.2958745248490930e-01,7.2101787821018248e-01,7.1274584071168223e-01,7.0457151263969831e-01,6.9686481933765654e-01,6.8942284865395798e-01,6.8250683575567717e-01,6.7593044636616895e-01,6.6988264436340483e-01,6.6425508366656061e-01,6.5920204019721207e-01,6.5474967387132432e-01,6.5079970714695856e-01,6.4745465561089122e-01,6.4489122810179411e-01,6.4298382171143253e-01,6.4206381611972008e-01,6.4188729116698195e-01
8.3550633702110855e-01,8.3814359328258869e-01,8.4082252476824226e-01,8.4362749238212120e-01,8.4667671143923140e-01,8.5005013647720484e-01,8.5380565971571454e-01,8.5803947664909230e-01,8.6265493117574166e-01,8.6784518894961382e-01,8.7346359078224134e-01,8.7964254274674891e-01,8.8624324538748045e-01,8.9327663121841439e-01,9.0070996527942837e-01,9.0840512971289544e-01,9.1640942928231550e-01,9.2460436966692217e-01,9.3282876203123199e-01,9.4119715920264535e-01,9.4951448677355343e-01,9.5786856316358293e-01,9.6594667223259756e-01,9.7396872830089742e-01,9.8175078009050099e-01,9.8928674610323108e-01,9.9665552441329708e-01,1.0036936001628864e+00,1.0104255414122887e+00,1.0168761941419291e+00,1.0231799754791280e+00,1.0290740604150566e+00,1.0348575235740023e+00,1.0403173609504233e+00,1.0456775372116873e+00,1.0508564494015922e+00,1.0559050866625774e+00,1.0608136211598109e+00,1.0655634471883779e+00,1.0702261675178220e+00,1.0748938031103135e+00,1.0792314972673158e+00,1.0836193334134543e+00,1.0876418962549566e+00,1.0917718134307821e+00
8.4528216178252558e-01,8.3970928433379233e-01,8.3425898472347149e-01,8.2886315577572744e-01,8.2342998786244659e-01,8.1785336586061252e-01,8.1212189364562770e-01,8.0612523448771223e-01,7.9994994648810436e-01,7.9340891835646632e-01,7.8664939731446992e-01,7.7955143878182875e-01,7.7225155501967535e-01,7.6474465126256475e-01,7.5705838705548856e-01,7.4934796841150930e-01,7.4161956323040257e-01,7.3398841734792297e-01,7.2662828535118451e-01,7.1949529068751461e-01,7.1273902199737593e-01,7.0636113931878264e-01,7.0062976813158706e-01,6.9535341276699791e-01,6.9067177544754654e-01,6.8656727176063681e-01,6.8298980489914551e-01,6.7995258602684028e-01,6.7742245015137315e-01,6.7522259803469220e-01,6.7330577696759231e-01,6.7169244440441822e-01,6.7010173312465215e-01,6.6854979046246932e-01,6.6688416458720456e-01,6.6499676394823692e-01,6.6284755735969425e-01,6.6026728831249737e-01,6.5725909126703264e-01,6.5375534878706232e-01,6.4945071641675967e-01,6.4480542237101113e-01,6.3929785651516291e-01,6.3338323735847979e-01,6.2659222460015640e-01
8.3009282637367754e-01,8.3727158729353290e-01,8.4438112090573392e-01,8.5142186565005396e-01,8.5845268546236397e-01,8.6551837024638389e-01,8.7257138767208542e-01,8.7964907967201966e-01,8.8667018939989517e-01,8.9373288300500719e-01,9.0067813271617536e-01,9.0755031385063256e-01,9.1420124233691391e-01,9.2065814397298384e-01,9.2687774808160917e-01,9.3275360966401499e-01,9.3825048924652688e-01,9.4332003064678627e-01,9.4792462632710439e-01,9.5201879814721801e-01,9.5565548894620667e-01,9.5880830385246185e-01,9.6138951315971588e-01,9.6357188715279107e-01,9.6535411001061788e-01,9.6678086162237742e-01,9.6789515421053507e-01,9.6878921794913075e-01,9.6946698663429143e-01,9.7016756310120289e-01,9.7085092605272050e-01,9.7155718393210577e-01,9.7251587810510898e-01,9.7369250577533728e-01,9.7521374784154746e-01,9.7714640440943235e-01,9.7951928347691197e-01,9.8248511611887546e-01,9.8596464057993571e-01,9.9008039096462375e-01,9.9511602058840853e-01,1.0005193161892199e+00,1.0068865754453471e+00,1.0136888056921667e+00,1.0214284155714004e+00
