line_0,line_1,line_2,line_3,line_4,line_5,line_6,line_7,line_8,line_9,line_10,line_11,line_12,line_13,line_14,line_15,line_16,line_17,line_18,line_19,line_20,line_21,line_22,line_23,line_24,line_25,line_26,line_27,line_28,line_29,line_30,line_31,line_32,line_33,line_34,line_35,line_36,line_37,line_38,line_39,line_40,line_41,line_42,line_43
-2.9052437805194868e-03,-4.6988444256567839e-04,1.9482106277647865e-03,4.3486777897932486e-03,6.7330074811177585e-03,9.1003386403904311e-03,1.1450849357702374e-02,1.3784365072773835e-02,1.6101419471399588e-02,1.8401907268234829e-02,2.0684587029706061e-02,2.2952741938630786e-02,2.5204809256228665e-02,2.7440414828569622e-02,2.9659293218463428e-02,3.1862958598606682e-02,3.4048363167224212e-02,3.6217911264433231e-02,3.8370611404227914e-02,4.0506740536301995e-02,4.2626892394500022e-02,4.4730023102044124e-02,4.6815498388960375e-02,4.8884704225651318e-02,5.0934400960710474e-02,5.2968954477441953e-02,5.4984842974448576e-02,5.6981684821405261e-02,5.8963004776677555e-02,6.0923385838333607e-02,6.2871414977874088e-02,6.4794306218943817e-02,6.6696464668397362e-02,6.8579668560011839e-02,7.0449226035785545e-02,7.2305064967068719e-02,7.4130745064211009e-02,7.5945823781421701e-02,7.7735389350560236e-02,7.9504645249793490e-02,8.1261388578906898e-02,8.2986779615662740e-02,8.4699115775750913e-02,8.6389014740067147e-02,8.8056972675949433e-02
9.3740185555191515e-04,1.4970368183698775e-04,-6.2665282390832221e-04,-1.3855984998707781e-03,-2.1276540844865880e-03,-2.8579054726166190e-03,-3.5611812412001823e-03,-4.2386323209199018e-03,-4.8932577069379438e-03,-5.5219073099390921e-03,-6.1243482921533093e-03,-6.6935165467255503e-03,-7.2326584365157700e-03,-7.7460015604196575e-03,-8.2311134207337655e-03,-8.6863871902543386e-03,-9.1136761183868448e-03,-9.5108049008199060e-03,-9.8919073617141431e-03,-1.0236694626236827e-02,-1.0561216819599170e-02,-1.0875641979746426e-02,-1.1159586730404838e-02,-1.1426445823700532e-02,-1.1674842956356880e-02,-1.1916590410915261e-02,-1.2134308984623213e-02,-1.2356138240757422e-02,-1.2557334043571266e-02,-1.2767827050236628e-02,-1.2964231579612235e-02,-1.3154371091920703e-02,-1.3352696443544657e-02,-1.3557408638537237e-02,-1.3761358678905940e-02,-1.3987157344772258e-02,-1.4196002946550297e-02,-1.4447266804414537e-02,-1.4685066644175026e-02,-1.4947480171384461e-02,-1.5220502826240240e-02,-1.5513578207594780e-02,-1.5824411588587224e-02,-1.6151374354461300e-02,-1.6496250981990368e-02
1.2431003680503680e-03,2.0210979961823356e-04,-8.2941773459822268e-04,-1.8607669679067554e-03,-2.8998984004211187e-03,-3.9428517048141964e-03,-5.0112205778712242e-03,-6.0972243456769992e-03,-7.2118380335624930e-03,-8.3601847272859221e-03,-9.5323495688249011e-03,-1.0744676489760614e-02,-1.2000977449146926e-02,-1.3289778847010806e-02,-1.4620901780871300e-02,-1.5988402381833852e-02,-1.7399476438626875e-02,-1.8851748958508635e-02,-2.0320983687611923e-02,-2.1849082407266820e-02,-2.3396356188698456e-02,-2.4960392383699074e-02,-2.6567070606909968e-02,-2.8193588047874477e-02,-2.9834438191623847e-02,-3.1489297963498690e-02,-3.3162982907390143e-02,-3.4824702960693982e-02,-3.6507758456854812e-02,-3.8159531650466413e-02,-3.9822295020235626e-02,-4.1481298344328461e-02,-4.3104961022017857e-02,-4.4712706389151174e-02,-4.6306951557859487e-02,-4.7852495545439376e-02,-4.9374307272722594e-02,-5.0858335332791188e-02,-5.2310888361041072e-02,-5.3702313684069525e-02,-5.5071139966532831e-02,-5.6370485362117438e-02,-5.7620625336280928e-02,-5.8824783229517667e-02,-5.9968601668550642e-02
-3.1602514389544932e-03,-5.0838801384161354e-04,2.1060514157407195e-03,4.6926609467748612e-03,7.2570627159435890e-03,9.8096344575748767e-03,1.2364520549182271e-02,1.4914362073087328e-02,1.7470406898623333e-02,2.0050243204454494e-02,2.2626948244397749e-02,2.5234317601135963e-02,2.7864861651229100e-02,3.0511026251621984e-02,3.3180916150617620e-02,3.5874119614347687e-02,3.8591821530760941e-02,4.1330632680318224e-02,4.4068351537219073e-02,4.6832465692596956e-02,4.9599844899050838e-02,5.2364668176098819e-02,5.5149332352992388e-02,5.7927448580376871e-02,6.0690873972409791e-02,6.3427898166873345e-02,6.6174646196933307e-02,6.8876237635290938e-02,7.1563375366393206e-02,7.4199984905881075e-02,7.6815372302663443e-02,7.9393763389329866e-02,8.1910066696531725e-02,8.4389195053794372e-02,8.6808948589470511e-02,8.9168771340325664e-02,9.1466293938586948e-02,9.3689939245381756e-02,9.5834757273687468e-02,9.7943411558302343e-02,9.9981138128784439e-02,1.0190920339826434e-01,1.0377736371551599e-01,1.0554171606559376e-01,1.0724999027482696e-01
4.3848153097392302e-03,7.0977002724331034e-04,-2.9305754151742161e-03,-6.5472922148735267e-03,-1.0132245167121596e-02,-1.3705682258799392e-02,-1.7274772958599048e-02,-2.0826460573148384e-02,-2.4370602975971704e-02,-2.7922971811263242e-02,-3.1455502743571798e-02,-3.5005424438962963e-02,-3.8549484983253092e-02,-4.2092953214631565e-02,-4.5631069407217284e-02,-4.9173741283700945e-02,-5.2705758603082777e-02,-5.6239169505971708e-02,-5.9750500012528955e-02,-6.3248267523639948e-02,-6.6736094432371731e-02,-7.0194881354136943e-02,-7.3642668292806857e-02,-7.7062278697473036e-02,-8.0444634159444764e-02,-8.3791208098212236e-02,-8.7122511230450894e-02,-9.0401074201209769e-02,-9.3641942172794215e-02,-9.6839781136505917e-02,-1.0001314279498086e-01,-1.0312863101629244e-01,-1.0620322895612662e-01,-1.0923862994204753e-01,-1.1221508622005523e-01,-1.1515551226005195e-01,-1.1803306719887519e-01,-1.2086239502527070e-01,-1.2362271959499425e-01,-1.2636684589229141e-01,-1.2905167874392476e-01,-1.3164927535383064e-01,-1.3421455172192190e-01,-1.3666556480904621e-01,-1.3908946409520787e-01
-4.6743072485258708e-03,-7.5329434167079198e-04,3.1225352505390405e-03,6.9711987669087722e-03,1.0763315279022133e-02,1.4530582046404967e-02,1.8266372183265097e-02,2.1948630140828814e-02,2.5589470231437567e-02,2.9202879865743041e-02,3.2765852493949296e-02,3.6298318280224513e-02,3.9785341949889183e-02,4.3226450998030727e-02,4.6623989766321261e-02,4.9977711193072295e-02,5.3286430420934498e-02,5.6550985588378094e-02,5.9759602198153107e-02,6.2909150236087577e-02,6.6025744009634013e-02,6.9089686807119258e-02,7.2077840276844177e-02,7.5036937623615699e-02,7.7938975849300707e-02,8.0788522557057707e-02,8.3622916658607882e-02,8.6368678505396743e-02,8.9075945382156074e-02,9.1750558527188997e-02,9.4419591300287944e-02,9.6988372439894957e-02,9.9556331879246979e-02,1.0209809205770307e-01,1.0457675563132647e-01,1.0707964254561812e-01,1.0953212624005965e-01,1.1198934751217110e-01,1.1436165454529840e-01,1.1679759877071473e-01,1.1920753971598834e-01,1.2157663990336692e-01,1.2392878855640875e-01,1.2626037501810419e-01,1.2862424085233337e-01
3.9610306811615464e-03,6.3994746002888063e-04,-2.6430312700334337e-03,-5.8831277045860953e-03,-9.0526438485341813e-03,-1.2169734131854423e-02,-1.5224001638322956e-02,-1.8178242472531834e-02,-2.1047156086395489e-02,-2.3836700605075332e-02,-2.6522324918140144e-02,-2.9104615126359937e-02,-3.1583394587063177e-02,-3.3947119373372012e-02,-3.6198080088675512e-02,-3.8340781403846856e-02,-4.0366662870923636e-02,-4.2286327988800464e-02,-4.4096959910991655e-02,-4.5778003362484561e-02,-4.7384202273013203e-02,-4.8893559999409683e-02,-5.0287245856271229e-02,-5.1615401038016928e-02,-5.2866705600169241e-02,-5.4065623368975364e-02,-5.5214938715889193e-02,-5.6304943062344848e-02,-5.7356332881416831e-02,-5.8412502498151976e-02,-5.9467957195242255e-02,-6.0467800463885113e-02,-6.1522773859832042e-02,-6.2595005556624131e-02,-6.3672086883142062e-02,-6.4830707393484288e-02,-6.6014205034138324e-02,-6.7285804908112951e-02,-6.8586414866097914e-02,-6.9995556616111315e-02,-7.1479213707562869e-02,-7.3047021192770359e-02,-7.4697825937340187e-02,-7.6442632783148251e-02,-7.8323535698468741e-02
-2.3807502563397286e-03,-3.8381641675890081e-04,1.6016259493509702e-03,3.5630665636371198e-03,5.4689244452222402e-03,7.3224462500760248e-03,9.1000325471809092e-03,1.0766672442059175e-02,1.2332936873162229e-02,1.3791360574872236e-02,1.5116912306394259e-02,1.6301170142318310e-02,1.7336767953073071e-02,1.8226743058811775e-02,1.8959721144644587e-02,1.9540950252175632e-02,1.9964041600896213e-02,2.0239153231866085e-02,2.0362990764810549e-02,2.0323111397896790e-02,2.0165228594333114e-02,1.9886622098796547e-02,1.9464187694745973e-02,1.8952500872760032e-02,1.8347407863314479e-02,1.7687823615363328e-02,1.6951678419331852e-02,1.6183834617937126e-02,1.5375556306639105e-02,1.4607584405748487e-02,1.3849128825810393e-02,1.3077167309951308e-02,1.2421453517586166e-02,1.1828119274480679e-02,1.1323159539349715e-02,1.0950681394127897e-02,1.0710349522952823e-02,1.0658409379092090e-02,1.0777900990298588e-02,1.1059667090681288e-02,1.1569938001038166e-02,1.2313105159868170e-02,1.3279333017079823e-02,1.4509806219470192e-02,1.5980155466078377e-02
3.0374426497365402e-04,5.0921560674735273e-05,-2.0244091620792875e-04,-4.4501426273520591e-04,-6.3156686716091444e-04,-7.4843976675273460e-04,-7.7849650231518505e-04,-6.9127076092803154e-04,-4.9813840106825041e-04,-1.6910024350190594e-04,2.9514346709260157e-04,9.3505370677768405e-04,1.7287943129629430e-03,2.6855407219507545e-03,3.7968356235023024e-03,5.0761180865609322e-03,6.5229211981440690e-03,8.1221914988851354e-03,9.8496812731180654e-03,1.1755498212255642e-02,1.3761218519689960e-02,1.5892443317470577e-02,1.8133892127116732e-02,2.0467053641335862e-02,2.2858102180310719e-02,2.5281657672564337e-02,2.7776028375597048e-02,3.0256052035048209e-02,3.2747764458432804e-02,3.5170353612792866e-02,3.7571726586489981e-02,3.9926173224465109e-02,4.2139483193832671e-02,4.4249107821213274e-02,4.6232549745848860e-02,4.8055176164894756e-02,4.9744173289677666e-02,5.1203238585386314e-02,5.2442541657613473e-02,5.3549668181395116e-02,5.4390557505109349e-02,5.4977636798500165e-02,5.5346765419726891e-02,5.5421139450115862e-02,5.5273614828367769e-02
1.8421504424649252e-03,2.9630406639900901e-04,-1.2317974284474103e-03,-2.7656156414602282e-03,-4.3339175502012392e-03,-5.9716839705038346e-03,-7.6898454952537406e-03,-9.5115275867414112e-03,-1.1423571123050034e-02,-1.3484026385530956e-02,-1.5658592712976462e-02,-1.8005791259930681e-02,-2.0492836869037662e-02,-2.3134874143082351e-02,-2.5902605039321128e-02,-2.8814355787560725e-02,-3.1875936871763606e-02,-3.5065493618741408e-02,-3.8332143351987855e-02,-4.1751462859879920e-02,-4.5224632203827747e-02,-4.8790857231653433e-02,-5.2401131230004172e-02,-5.6076231795066316e-02,-5.9754904637142725e-02,-6.3425397898574987e-02,-6.7142941684207397e-02,-7.0796200453713945e-02,-7.4418632403063678e-02,-7.7961066633745316e-02,-8.1474663531994632e-02,-8.4890324397052644e-02,-8.8187642209315839e-02,-9.1361802900543257e-02,-9.4416117858899237e-02,-9.7326047329812385e-02,-1.0012127960761262e-01,-1.0271992557037198e-01,-1.0509634048888768e-01,-1.0741131960859762e-01,-1.0949564590150493e-01,-1.1135290843149666e-01,-1.1305634480133891e-01,-1.1449313160389403e-01,-1.1578304826156018e-01
