r,z
1.0661807067294438e+00,-2.3295982223981343e-14
1.0657727166224671e+00,9.9796241759990984e-03
1.0645498066537182e+00,1.9882177898836395e-02
1.0625151951146639e+00,2.9631824583931276e-02
1.0596743664318049e+00,3.9155171328986542e-02
1.0560352400473079e+00,4.8382430388032950e-02
1.0516083836787675e+00,5.7248507671735463e-02
1.0464072497990018e+00,6.5693993375074158e-02
1.0404484108642438e+00,7.3666029927774421e-02
1.0337517673124399e+00,8.1119033222684517e-02
1.0263407028006766e+00,8.8015244800189490e-02
1.0182421635710781e+00,9.4325095597986186e-02
1.0094866431145886e+00,1.0002736616876359e-01
1.0001080592003830e+00,1.0510913395441177e-01
9.9014351749756768e-01,1.0956550517294893e-01
9.7963296398184263e-01,1.1339913686494789e-01
9.6861873656934872e-01,1.1661956326474682e-01
9.5714503439138432e-01,1.1924234940204899e-01
9.4525733025232872e-01,1.2128810312310613e-01
9.3300175756760428e-01,1.2278138394479012e-01
9.2042450699676193e-01,1.2374955274590618e-01
9.0757126970863689e-01,1.2422160976713681e-01
8.9448676351058831e-01,1.2422706937403769e-01
8.8121437486145182e-01,1.2379491834592192e-01
8.6779594414913019e-01,1.2295270009043864e-01
8.5427171379289557e-01,1.2172576035399285e-01
8.4068044912605666e-01,1.2013668109834649e-01
8.2705973116033671e-01,1.1820491880464278e-01
8.1344640886893860e-01,1.1594665223063649e-01
7.9987718726000689e-01,1.1337483333620267e-01
7.8638931698127201e-01,1.1049942446498023e-01
7.7302134221507235e-01,1.0732779563085450e-01
7.5981385683808367e-01,1.0386524849971313e-01
7.4681021476760068e-01,1.0011562881277368e-01
7.3405713948049545e-01,9.6081986807389608e-02
7.2160518007533592e-01,9.1767245683776158e-02
7.0950896695425092e-01,8.7174841161922881e-02
6.9782722902242056e-01,8.2309300303669619e-02
6.8662254583014282e-01,7.7176734519801476e-02
6.7596082172299632e-01,7.1785229417350022e-02
6.6591048407617637e-01,6.6145122199061185e-02
6.5654142321778064e-01,6.0269165051293705e-02
6.4792370678351974e-01,5.4172579767309770e-02
6.4012611508143535e-01,4.7873014291030164e-02
6.3321455572538943e-01,4.1390415631748882e-02
6.2725042457719160e-01,3.4746835572423709e-02
6.2228898533633537e-01,2.7966185834757074e-02
6.1837784155046682e-01,2.1073958102625918e-02
6.1555557223298940e-01,1.4096921907330948e-02
6.1385059575105794e-01,7.0628103022284273e-03
6.1328031650991621e-01,-4.1589207561909719e-14
6.1385059575105061e-01,-7.0628103023116255e-03
6.1555557223297619e-01,-1.4096921907414222e-02
6.1837784155044595e-01,-2.1073958102709359e-02
6.2228898533630905e-01,-2.7966185834840649e-02
6.2725042457715852e-01,-3.4746835572507524e-02
6.3321455572535024e-01,-4.1390415631832891e-02
6.4012611508138983e-01,-4.7873014291114430e-02
6.4792370678346956e-01,-5.4172579767394272e-02
6.5654142321772457e-01,-6.0269165051378547e-02
6.6591048407611630e-01,-6.6145122199146381e-02
6.7596082172293237e-01,-7.1785229417435578e-02
6.8662254583007465e-01,-7.7176734519887255e-02
6.9782722902234939e-01,-8.2309300303755717e-02
7.0950896695417698e-01,-8.7174841162009228e-02
7.2160518007525976e-01,-9.1767245683862672e-02
7.3405713948041751e-01,-9.6081986807476247e-02
7.4681021476752174e-01,-1.0011562881286032e-01
7.5981385683800462e-01,-1.0386524849979976e-01
7.7302134221499252e-01,-1.0732779563094083e-01
7.8638931698119252e-01,-1.1049942446506623e-01
7.9987718725992785e-01,-1.1337483333628813e-01
8.1344640886886088e-01,-1.1594665223072162e-01
8.2705973116026066e-01,-1.1820491880472703e-01
8.4068044912598261e-01,-1.2013668109842988e-01
8.5427171379282429e-01,-1.2172576035407526e-01
8.6779594414906169e-01,-1.2295270009051996e-01
8.8121437486138543e-01,-1.2379491834600213e-01
8.9448676351052525e-01,-1.2422706937411632e-01
9.0757126970857671e-01,-1.2422160976721401e-01
9.2042450699670442e-01,-1.2374955274598189e-01
9.3300175756755011e-01,-1.2278138394486403e-01
9.4525733025227776e-01,-1.2128810312317824e-01
9.5714503439133691e-01,-1.1924234940211927e-01
9.6861873656930364e-01,-1.1661956326481525e-01
9.7963296398180089e-01,-1.1339913686501446e-01
9.9014351749752949e-01,-1.0956550517301346e-01
1.0001080592003480e+00,-1.0510913395447424e-01
1.0094866431145564e+00,-1.0002736616882422e-01
1.0182421635710488e+00,-9.4325095598044903e-02
1.0263407028006513e+00,-8.8015244800246459e-02
1.0337517673124166e+00,-8.1119033222739584e-02
1.0404484108642236e+00,-7.3666029927828003e-02
1.0464072497989843e+00,-6.5693993375126034e-02
1.0516083836787535e+00,-5.7248507671786110e-02
1.0560352400472954e+00,-4.8382430388082424e-02
1.0596743664317938e+00,-3.9155171329035038e-02
1.0625151951146563e+00,-2.9631824583978859e-02
1.0645498066537133e+00,-1.9882177898883514e-02
1.0657727166224642e+00,-9.9796241760458180e-03
1.0661807067294438e+00,-2.3332890712112852e-14
